"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"Growth Change"
"02/21/2021 00:21:12:569 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-population","[step]","growth"
"2","110","22","-0.4858757062146893"
"6","150","19","-0.34375"
"4","130","22","-0.3744292237442922"
"1","100","18","-0.32558139534883723"
"8","170","17","-0.3050847457627119"
"3","120","24","-0.3880597014925373"
"2","110","23","-0.5"
"4","130","23","-0.39631336405529954"
"6","150","20","-0.34375"
"1","100","19","-0.32558139534883723"
"3","120","25","-0.4"
"8","170","18","-0.32081911262798635"
"2","110","24","-0.5142857142857142"
"4","130","24","-0.4074074074074074"
"6","150","21","-0.34375"
"7","160","29","-0.3970037453183521"
"1","100","20","-0.32558139534883723"
"3","120","26","-0.4"
"2","110","25","-0.5287356321839081"
"8","170","19","-0.32081911262798635"
"5","140","29","-0.5112107623318386"
"7","160","30","-0.3970037453183521"
"4","130","25","-0.4074074074074074"
"6","150","22","-0.35294117647058826"
"1","100","21","-0.32558139534883723"
"5","140","30","-0.5112107623318386"
"8","170","20","-0.35294117647058826"
"7","160","31","-0.3970037453183521"
"1","100","22","-0.3391812865497076"
"2","110","26","-0.5287356321839081"
"4","130","26","-0.4074074074074074"
"5","140","31","-0.5112107623318386"
"8","170","21","-0.3611111111111111"
"7","160","32","-0.3970037453183521"
"6","150","23","-0.36220472440944884"
"5","140","32","-0.5112107623318386"
"1","100","23","-0.3668639053254438"
"8","170","22","-0.3693379790940767"
"7","160","33","-0.3970037453183521"
"5","140","33","-0.5112107623318386"
"2","110","27","-0.5287356321839081"
"8","170","23","-0.3776223776223776"
"7","160","34","-0.3970037453183521"
"5","140","34","-0.5112107623318386"
"4","130","27","-0.4074074074074074"
"6","150","24","-0.3715415019762846"
"2","110","28","-0.5287356321839081"
"1","100","24","-0.39520958083832336"
"8","170","24","-0.38596491228070173"
"7","160","35","-0.3970037453183521"
"5","140","35","-0.5112107623318386"
"2","110","29","-0.5287356321839081"
"4","130","28","-0.4074074074074074"
"6","150","25","-0.38095238095238093"
"8","170","25","-0.39436619718309857"
"3","120","27","-0.4"
"1","100","25","-0.40963855421686746"
"7","160","36","-0.3970037453183521"
"5","140","36","-0.5112107623318386"
"2","110","30","-0.5287356321839081"
"4","130","29","-0.4074074074074074"
"5","140","37","-0.5112107623318386"
"7","160","37","-0.3970037453183521"
"8","170","26","-0.39436619718309857"
"6","150","26","-0.38095238095238093"
"2","110","31","-0.5287356321839081"
"1","100","26","-0.40963855421686746"
"4","130","30","-0.4074074074074074"
"7","160","38","-0.3970037453183521"
"8","170","27","-0.39436619718309857"
"5","140","38","-0.5112107623318386"
"2","110","32","-0.5287356321839081"
"6","150","27","-0.38095238095238093"
