"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"exp1-2"
"03/07/2024 00:45:37:807 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","gini-index","survival-ratio","mean-sugar","median-sugar","sd-sugar"
"53","25","5","color-agents-by-vision","520","1000","0.370445172379522","0.5","1093.6384615384616","1057","717.5719839730032"
"54","25","5","color-agents-by-vision","520","1000","0.36107694946886776","0.5192307692307693","1114.2","1046","716.2831447789512"
"55","25","5","color-agents-by-vision","540","1000","0.33901151477959324","0.4888888888888889","1149.2613636363637","1020","688.2229305622891"
"56","25","5","color-agents-by-vision","540","1000","0.3594129770600355","0.4722222222222222","1163.1411764705883","1087","742.5602892293275"
"57","25","5","color-agents-by-vision","560","1000","0.3282493453256172","0.48035714285714287","1215.0706319702601","1063","710.2043159300316"
"58","25","5","color-agents-by-vision","560","1000","0.36124066299796875","0.49642857142857144","1158.0359712230215","1044.5","743.3582973695701"
"59","25","5","color-agents-by-vision","580","1000","0.3192664746475136","0.4879310344827586","1201.5335689045937","1042","687.0626202042278"
"60","25","5","color-agents-by-vision","580","1000","0.3178063314316944","0.4827586206896552","1229.7857142857142","1054.5","699.9375884692693"
"61","25","5","color-agents-by-vision","600","1000","0.37380576847212543","0.45","1117.3296296296296","1049.5","739.4898916566178"
"62","25","5","color-agents-by-vision","600","1000","0.3031091566239815","0.4683333333333333","1222.1316725978647","1034","663.6820455612815"
"63","25","5","color-agents-by-vision","620","1000","0.34525784483135996","0.4612903225806452","1148.9475524475524","1019","706.266537364617"
"64","25","5","color-agents-by-vision","620","1000","0.31126574932643186","0.49032258064516127","1156.0361842105262","965","637.8255154235567"
"65","25","5","color-agents-by-vision","640","1000","0.32011711299844975","0.478125","1157.045751633987","1006.5","659.4821350305971"
"66","25","5","color-agents-by-vision","640","1000","0.3150033232590462","0.4640625","1204.7239057239058","1016","678.6529617067494"
"67","25","5","color-agents-by-vision","660","1000","0.30342178167275735","0.4348484848484849","1232.9128919860627","1095","664.5667257282023"
"68","25","5","color-agents-by-vision","660","1000","0.3099871472344453","0.44545454545454544","1194.8333333333333","1008.5","661.0240344913325"
"69","25","5","color-agents-by-vision","680","1000","0.3008034530194099","0.4441176470588235","1176.4072847682119","1002.5","629.7259038396701"
"70","25","5","color-agents-by-vision","680","1000","0.3091696180506005","0.45","1166.4150326797385","982","641.8915956964513"
"71","25","5","color-agents-by-vision","700","1000","0.3158580782701376","0.45","1182.5587301587302","1012","665.3164221657825"
"72","25","5","color-agents-by-vision","700","1000","0.32000342442054547","0.45714285714285713","1152.725","1012.5","654.3921916090312"
"73","25","5","color-agents-by-vision","720","1000","0.29316881337454503","0.4444444444444444","1157.796875","1012","599.933903874766"
"74","25","5","color-agents-by-vision","720","1000","0.3252829350234374","0.44722222222222224","1130.0745341614906","1057.5","645.4222656287963"
"75","25","5","color-agents-by-vision","740","1000","0.31612740890078844","0.43108108108108106","1116.4326018808777","994","622.2617002418383"
"76","25","5","color-agents-by-vision","740","1000","0.30540128814408196","0.45675675675675675","1110.8431952662722","874","602.8689241709228"
"77","25","5","color-agents-by-vision","760","1000","0.31813530595134254","0.45","1084.2280701754387","928.5","608.2172695276666"
"78","25","5","color-agents-by-vision","760","1000","0.2968644934803851","0.41842105263157897","1199.4528301886792","995","634.7708665125057"
"79","25","5","color-agents-by-vision","780","1000","0.3243416846846989","0.441025641025641","1107.8779069767443","975","632.0826487459944"
"80","25","5","color-agents-by-vision","780","1000","0.3394199379480761","0.4269230769230769","1072.6666666666667","922","642.5959681738226"
"82","25","5","color-agents-by-vision","800","1000","0.2945822228250642","0.41625","1149.4354354354355","994","597.6516439663898"
"81","25","5","color-agents-by-vision","800","1000","0.33042663647676684","0.42125","1074.5163204747776","947","623.3076281311028"
"83","25","5","color-agents-by-vision","820","1000","0.32314444438389267","0.43902439024390244","1020.4277777777778","842","580.3490068052012"
"84","25","5","color-agents-by-vision","820","1000","0.3338443384380819","0.45","1023.1409214092141","921","596.4460111507387"
"85","25","5","color-agents-by-vision","840","1000","0.32738544321940555","0.4142857142857143","1079.117816091954","853.5","631.2589638580387"
"86","25","5","color-agents-by-vision","840","1000","0.3455996145834078","0.4607142857142857","953.3307493540052","774","579.0717148533673"
"87","25","5","color-agents-by-vision","860","1000","0.32967244092581566","0.4313953488372093","1007.9811320754717","822","585.8369316233401"
"88","25","5","color-agents-by-vision","860","1000","0.3613025435273293","0.45232558139534884","954.0308483290488","822","605.0276887883458"
"89","25","5","color-agents-by-vision","880","1000","0.349636444735913","0.4420454545454545","951.0694087403599","733","587.7176787474395"
"90","25","5","color-agents-by-vision","880","1000","0.3536736069130186","0.4431818181818182","926.2333333333333","738","576.9005513836884"
"91","25","5","color-agents-by-vision","900","1000","0.36123051228277836","0.47444444444444445","865.6252927400468","617","553.6803073426552"
"92","25","5","color-agents-by-vision","900","1000","0.3654031727598477","0.4711111111111111","881.2830188679245","639.5","568.8424687260314"
"93","25","5","color-agents-by-vision","920","1000","0.36163913326625274","0.45108695652173914","905.7734939759036","676","578.5379179311755"
"94","25","5","color-agents-by-vision","920","1000","0.34188037718273556","0.4423913043478261","948.058968058968","781","569.4893888404664"
"95","25","5","color-agents-by-vision","940","1000","0.3879190506822077","0.45851063829787236","825.1276102088167","590","568.4829505562262"
"96","25","5","color-agents-by-vision","940","1000","0.35694227341663326","0.42872340425531913","932.2183622828784","692","589.0582220928773"
"97","25","5","color-agents-by-vision","960","1000","0.37477791067481636","0.4510416666666667","847.5842956120092","595","564.1141965859732"
"98","25","5","color-agents-by-vision","960","1000","0.3597083498593743","0.44583333333333336","875.7967289719626","674.5","554.9093630558722"
"99","25","5","color-agents-by-vision","980","1000","0.36585654942295","0.43979591836734694","874.8909512761021","661","565.6809600347509"
"100","25","5","color-agents-by-vision","980","1000","0.3376085496657763","0.4275510204081633","931.8090692124105","1051","552.6816415903874"
"101","25","5","color-agents-by-vision","1000","1000","0.37423821664637685","0.454","817.8722466960353","560.5","544.159847372952"
"102","25","5","color-agents-by-vision","1000","1000","0.36173654294832414","0.445","863.4988764044944","628","552.6614868346321"
