"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2-change.nlogo"
"exp2-2"
"03/07/2024 01:59:27:830 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"45","20","color-agents-by-vision","500","1000","0.3632256452857738","N/A","0.516","N/A","1151.5965291863872","N/A","1071.5","N/A","741.8127544922215","N/A"
"45","25","color-agents-by-vision","500","1000","0.3720378857975155","N/A","0.531","N/A","1148.317958685659","N/A","1065.25","N/A","758.2263238453788","N/A"
"45","30","color-agents-by-vision","500","1000","0.3518991922971654","N/A","0.532","N/A","1161.735587590983","N/A","1050","N/A","726.3837913660568","N/A"
"50","0","color-agents-by-vision","500","1000","0.3702207761195059","N/A","0.537","N/A","1098.9063254265502","N/A","1043.25","N/A","719.520536632391","N/A"
"50","5","color-agents-by-vision","500","1000","0.36269517263702955","N/A","0.526","N/A","1160.1777845246356","N/A","1092.75","N/A","744.178799794736","N/A"
"50","10","color-agents-by-vision","500","1000","0.38258034233681204","N/A","0.515","N/A","1092.0357088989442","N/A","1044.25","N/A","735.8223152559326","N/A"
"50","15","color-agents-by-vision","500","1000","0.37496444178241084","N/A","0.533","N/A","1101.3056330094353","N/A","1057.5","N/A","730.8610110953392","N/A"
"50","20","color-agents-by-vision","500","1000","0.385653638336169","N/A","0.517","N/A","1138.3488147616054","N/A","1070.25","N/A","780.9154349789675","N/A"
"50","25","color-agents-by-vision","500","1000","0.3930653985917144","N/A","0.51","N/A","1100.411123429416","N/A","1082.25","N/A","764.365498759732","N/A"
"50","30","color-agents-by-vision","500","1000","0.3525974089112205","N/A","0.507","N/A","1144.5628520743207","N/A","1056","N/A","711.1088580085479","N/A"
