"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3-change.nlogo"
"mean-sugar-by-max-endowment"
"03/06/2024 00:13:03:655 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar"
"86","470","color-agents-by-vision","400","300","241.16","233","136.03955786188862"
"87","480","color-agents-by-vision","400","300","268.57","283.5","141.24365303902871"
"88","480","color-agents-by-vision","400","300","245.3825","241.5","141.0374421704568"
"89","490","color-agents-by-vision","400","300","259.43","262.5","145.8742724348471"
"90","490","color-agents-by-vision","400","300","247.385","243","146.81373388120184"
"91","500","color-agents-by-vision","400","300","251.495","236","140.86531712569388"
"92","500","color-agents-by-vision","400","300","268.085","269","144.416474372474"
"93","510","color-agents-by-vision","400","300","254.71","248","137.59400851034493"
"94","510","color-agents-by-vision","400","300","274.9375","270","155.66215133147446"
"95","520","color-agents-by-vision","400","300","276.7025","274.5","146.97714003538943"
"96","520","color-agents-by-vision","400","300","264.245","264.5","153.92161848353686"
"97","530","color-agents-by-vision","400","300","279.96","280.5","156.13464852869117"
"98","530","color-agents-by-vision","400","300","272.5575","262.5","150.86561164058966"
"99","540","color-agents-by-vision","400","300","281.5125","285.5","155.8440832674558"
"100","540","color-agents-by-vision","400","300","273.465","276.5","150.39226495533606"
"101","550","color-agents-by-vision","400","300","288.4225","273","159.96948015231058"
"102","550","color-agents-by-vision","400","300","284.915","280","155.0491482431533"
"103","560","color-agents-by-vision","400","300","294.5475","291.5","157.5094944626027"
"104","560","color-agents-by-vision","400","300","292.165","299","160.88792710368074"
"105","570","color-agents-by-vision","400","300","312.8475","315","154.22063498243662"
"106","570","color-agents-by-vision","400","300","289.63","293","169.11785897877226"
"107","580","color-agents-by-vision","400","300","288.3275","272.5","172.78269558460912"
"108","580","color-agents-by-vision","400","300","309.9375","325.5","163.8839787470848"
"109","590","color-agents-by-vision","400","300","318.5475","307.5","168.92761494639862"
"110","590","color-agents-by-vision","400","300","315.2675","328","167.317628826254"
"111","600","color-agents-by-vision","400","300","308.3375","301","171.7710155941498"
"112","600","color-agents-by-vision","400","300","310.3975","317.5","178.4883321270995"
"113","610","color-agents-by-vision","400","300","318.4075","316.5","170.21573056294682"
"114","610","color-agents-by-vision","400","300","304.61","297.5","170.60283179226198"
"115","620","color-agents-by-vision","400","300","334.375","355.5","187.48477465334898"
"116","620","color-agents-by-vision","400","300","323.2425","311","179.86417513638935"
"117","630","color-agents-by-vision","400","300","329.5325","345","176.62722577780838"
"118","630","color-agents-by-vision","400","300","318.6975","315.5","177.40065805245357"
"119","640","color-agents-by-vision","400","300","326.6925","324.5","187.24819802312453"
"120","640","color-agents-by-vision","400","300","326.3275","334","179.42746663542914"
"121","650","color-agents-by-vision","400","300","333.32","341","186.50687557457903"
"122","650","color-agents-by-vision","400","300","333.36","323","186.22525342319"
"123","660","color-agents-by-vision","400","300","353.77","354.5","192.26684177495423"
"124","660","color-agents-by-vision","400","300","337.86","339","186.44741079586282"
"125","670","color-agents-by-vision","400","300","340.64","351","186.87473294840146"
"126","670","color-agents-by-vision","400","300","344.01","340.5","190.63726371250058"
"127","680","color-agents-by-vision","400","300","351.9125","347.5","203.5421907179337"
"128","680","color-agents-by-vision","400","300","340.035","340.5","189.10155279153693"
"129","690","color-agents-by-vision","400","300","343.255","336","199.5660831123917"
"130","690","color-agents-by-vision","400","300","337.5825","322.5","194.8227346553694"
"131","700","color-agents-by-vision","400","300","361.855","360","194.9990141354167"
"132","700","color-agents-by-vision","400","300","355.5625","357.5","201.91389041273015"
"133","710","color-agents-by-vision","400","300","352.2125","354.5","204.6519934910229"
"134","710","color-agents-by-vision","400","300","370.3575","376","204.22704622496613"
"135","720","color-agents-by-vision","400","300","369.95","372","209.17041654568342"
"136","720","color-agents-by-vision","400","300","365.145","364","210.75720741220326"
"137","730","color-agents-by-vision","400","300","370.7225","373.5","219.9556129607344"
"138","730","color-agents-by-vision","400","300","361.5725","355.5","214.04814005124754"
"139","740","color-agents-by-vision","400","300","387.8675","393.5","215.13987976060716"
"140","740","color-agents-by-vision","400","300","389.44","399.5","204.89287230845062"
"141","750","color-agents-by-vision","400","300","387.2075","375","211.0479508016934"
"142","750","color-agents-by-vision","400","300","380.48","368","215.84145439091148"
"143","760","color-agents-by-vision","400","300","394.9875","382","216.17585977537823"
"144","760","color-agents-by-vision","400","300","391.33","386.5","223.7018045152036"
"145","770","color-agents-by-vision","400","300","382.9825","381.5","213.4401178398962"
"146","770","color-agents-by-vision","400","300","388.745","375","216.6738768223873"
"147","780","color-agents-by-vision","400","300","379.21","372","216.93147318946217"
"148","780","color-agents-by-vision","400","300","389.77","395","223.49772971547148"
"149","790","color-agents-by-vision","400","300","377.0475","385","222.6018400456954"
"150","790","color-agents-by-vision","400","300","403.0825","400.5","233.9468283392082"
"151","800","color-agents-by-vision","400","300","407.57","408","233.1139321520885"
"152","800","color-agents-by-vision","400","300","420.7025","431.5","232.70439904972292"
"153","810","color-agents-by-vision","400","300","446.4675","461","235.79105687027234"
"154","810","color-agents-by-vision","400","300","422.74","427","231.1627845966045"
"155","820","color-agents-by-vision","400","300","421.0775","419.5","239.91455557905763"
"156","820","color-agents-by-vision","400","300","429.0475","431","238.41864202682387"
"157","830","color-agents-by-vision","400","300","416.965","426","233.9708414774246"
"158","830","color-agents-by-vision","400","300","412.03","384","235.14207106334658"
"159","840","color-agents-by-vision","400","300","417.295","422","240.4614256342274"
"160","840","color-agents-by-vision","400","300","437.7975","450.5","237.46858701372628"
"161","850","color-agents-by-vision","400","300","451.065","470.5","238.79241050184822"
"162","850","color-agents-by-vision","400","300","428.79","406.5","248.40345527282557"
"163","860","color-agents-by-vision","400","300","460.2475","475.5","247.20185707048748"
"164","860","color-agents-by-vision","400","300","436.5475","430.5","244.5695369209426"
"165","870","color-agents-by-vision","400","300","456.8675","461.5","252.7515247766912"
"166","870","color-agents-by-vision","400","300","440.4375","439","251.77611906031254"
"167","880","color-agents-by-vision","400","300","443.0575","460","238.37943720874898"
"169","890","color-agents-by-vision","400","300","458.0525","466","264.90568566850123"
"168","880","color-agents-by-vision","400","300","427.885","398.5","257.7032580275131"
"170","890","color-agents-by-vision","400","300","435.615","415","245.55891294007392"
"171","900","color-agents-by-vision","400","300","429.4975","413.5","249.674725724118"
"172","900","color-agents-by-vision","400","300","443.26","425.5","254.84358050834976"
"173","910","color-agents-by-vision","400","300","470.565","489","262.3198907588199"
"174","910","color-agents-by-vision","400","300","458.9175","459.5","254.26463962012681"
"175","920","color-agents-by-vision","400","300","467.3675","479","256.6181787557534"
"176","920","color-agents-by-vision","400","300","477.8875","483.5","274.3772074602482"
"179","940","color-agents-by-vision","400","300","485.98","503.5","259.3791596701206"
"177","930","color-agents-by-vision","400","300","484.8525","478","263.63393726138486"
"178","930","color-agents-by-vision","400","300","483.4725","494.5","270.1871703306399"
"180","940","color-agents-by-vision","400","300","468.12","470.5","281.52205467453246"
"181","950","color-agents-by-vision","400","300","503.6775","503.5","270.8902125620355"
"182","950","color-agents-by-vision","400","300","485.5725","490","277.62960981199564"
"183","960","color-agents-by-vision","400","300","521.2575","534","284.321257801531"
"185","970","color-agents-by-vision","400","300","495.695","496.5","270.22760660863935"
"184","960","color-agents-by-vision","400","300","474.8025","496.5","275.8550498269655"
"187","980","color-agents-by-vision","400","300","498.455","503.5","277.63262174435056"
"186","970","color-agents-by-vision","400","300","485.395","479","267.944807796424"
"188","980","color-agents-by-vision","400","300","499.775","503","284.4678351731886"
"189","990","color-agents-by-vision","400","300","492.0625","483","280.51687629886226"
"190","990","color-agents-by-vision","400","300","506.8125","502","283.44530415031073"
"191","1000","color-agents-by-vision","400","300","502.0075","509","276.84935679833"
"192","1000","color-agents-by-vision","400","300","532.2825","547","295.0862457398041"
