"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_custom.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/05/2024 23:27:41:987 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar"
"75","470","20","color-agents-by-vision","400","500","672.7794676806084","715","421.08741095931356"
"76","470","20","color-agents-by-vision","400","500","714.7428571428571","679","403.83667571895654"
"77","480","20","color-agents-by-vision","400","500","680.5263157894736","631.5","425.67102166777613"
"78","480","20","color-agents-by-vision","400","500","649.4790874524715","637","402.1950631668735"
"79","490","20","color-agents-by-vision","400","500","684.1476793248945","661","417.3258077249961"
"80","490","20","color-agents-by-vision","400","500","726.7203389830509","723.5","401.1149967351533"
"81","500","20","color-agents-by-vision","400","500","649.0384615384615","644","419.42732429859666"
"82","500","20","color-agents-by-vision","400","500","718.9835390946502","706","420.7173033221904"
"83","510","20","color-agents-by-vision","400","500","744.8582995951417","737","433.550317971694"
"84","510","20","color-agents-by-vision","400","500","685.2380952380952","649.5","438.69263266361065"
"85","520","20","color-agents-by-vision","400","500","719.8996138996139","684","429.39365664177143"
"86","520","20","color-agents-by-vision","400","500","711.0703125","691","438.6404608107808"
"87","530","20","color-agents-by-vision","400","500","694.4075471698113","682","423.2216447074572"
"88","530","20","color-agents-by-vision","400","500","730.4713114754098","726.5","419.8760683271059"
"89","540","20","color-agents-by-vision","400","500","715.3041666666667","686","429.65532939161415"
"90","540","20","color-agents-by-vision","400","500","759.7016806722689","775","451.2980519868451"
"91","550","20","color-agents-by-vision","400","500","744.8918918918919","732","412.4035004483664"
"92","550","20","color-agents-by-vision","400","500","741.984375","807.5","427.5852119524156"
"93","560","20","color-agents-by-vision","400","500","637.8015873015873","579","432.7592656310232"
"94","560","20","color-agents-by-vision","400","500","704.4241245136187","660","415.0679950435645"
"95","570","20","color-agents-by-vision","400","500","661.8470588235294","593","411.05505232810964"
"96","570","20","color-agents-by-vision","400","500","707.5234375","682","437.39802782208227"
"97","580","20","color-agents-by-vision","400","500","691.8674242424242","688","434.48690232088387"
"98","580","20","color-agents-by-vision","400","500","717.6923076923077","724","437.9685022985426"
"99","590","20","color-agents-by-vision","400","500","714.2061068702291","721","450.47186358965274"
"100","590","20","color-agents-by-vision","400","500","697.6215139442231","658","435.3085850006853"
"101","600","20","color-agents-by-vision","400","500","702.2841328413284","681","448.0068002202612"
"102","600","20","color-agents-by-vision","400","500","745.2908366533865","733","442.1686816993003"
"103","610","20","color-agents-by-vision","400","500","700.4235294117647","680","437.71108410111617"
