[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
initial-population,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
[reporter],growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,-1,0,0,0,-0.5,-1,-1.5,-2,0,-1,-0.5,-1,-1,-2,-2.5,-2,-0.5,-0.5,-1.5,-3,-0.5,-3,0,-1,-1,-2.5,-1,-2,-1,-1.5,-2.5,-2,-1.5,-0.5,-4.5,-3,-4,-0.5,-3,0,-2,-2,-4,-1.5,-1.5,-1,-2,-2,-4.5,-1.5,-1,-3.5,-2,0,-1.5,-4.5,-4,-3,-6,-3,-5.5,-2.5,-3.5,-5,-5,-2,-3.5,-2,-2,-2.5,-5,-2.5,-4,-3.5,-5,-1.5,-6.5,-6.5,-5.5,-4.5,-3.5,-3.5,-4,-5,-2.5,-4,-4.5,-4,-5.5,-4.5
,-1,-1.666666667,-0.666666667,-1.666666667,-1.333333333,-2,-1,-2.333333333,-3.666666667,-2.333333333,-2.333333333,-3,-3.666666667,-2.666666667,-2.666666667,-4.333333333,-3.333333333,-1,-2.666666667,-3.666666667,-4,-2,-4,-2.333333333,-3,-3.333333333,-3.333333333,-3.333333333,-5,-3,-4,-5.333333333,-5.333333333,-3.666666667,-4.666666667,-5.666666667,-6,-6,-4.666666667,-4.666666667,-5.333333333,-5.333333333,-5.666666667,-7.333333333,-5.333333333,-5,-3,-4.333333333,-4.333333333,-7,-7.333333333,-6.333333333,-8,-7,-5.333333333,-8.666666667,-9,-8.333333333,-8.333333333,-11.33333333,-7.333333333,-10.33333333,-5.333333333,-7,-10.33333333,-8.666666667,-9.666666667,-7.333333333,-6.666666667,-8.333333333,-8.666666667,-12.33333333,-9,-9.333333333,-8.333333333,-10,-8.333333333,-12,-12.33333333,-9.666666667,-9.333333333,-9.666666667,-9,-11.33333333,-13,-10.33333333,-9,-12.33333333,-14.33333333,-12.66666667,-13
,-0.75,-1.5,-1.25,-1.5,-1.25,-2.5,-1.25,-2.25,-3,-3.5,-2.5,-3.25,-3.5,-3.25,-2.5,-4.5,-4.75,-1.5,-3,-5.75,-4,-2.75,-5.75,-2.75,-4.25,-5,-4.5,-5,-5,-3.75,-6,-6.25,-5.75,-3.75,-5.25,-6.75,-8,-7.75,-6.5,-6.25,-5.75,-5.75,-8,-8.5,-8,-7.5,-5.75,-6,-6.5,-8.75,-9.5,-9.5,-10,-8.5,-9.5,-9.5,-10.75,-9.75,-10.5,-13.75,-10.25,-11.75,-8.5,-10,-12.75,-11.25,-12.25,-9,-10.75,-12.25,-10.75,-17.25,-12.5,-12.5,-13.5,-14.75,-12,-17.25,-15.75,-14.75,-16,-15.25,-13.5,-18.25,-19.75,-14.75,-16,-17,-18.25,-16,-16.25
,-0.8,-1.6,-1,-2,-1.6,-2.6,-1.4,-2.8,-3.4,-3.2,-2.8,-3.4,-3.8,-4.6,-3.8,-5.2,-4.8,-3,-3.8,-6.6,-3.8,-5.2,-6.2,-3.6,-6,-6,-5.4,-5.4,-5.4,-5.2,-7,-7.2,-6.6,-4.2,-6.4,-8.4,-8.8,-8.4,-8.8,-8.8,-8,-6.8,-10.4,-9.4,-10.2,-9,-7.8,-8.2,-8.8,-11.8,-10.6,-12.4,-11.8,-12,-11.2,-11.6,-12.4,-13.4,-12.4,-14.8,-13.2,-14.2,-12.2,-12,-15.4,-15.8,-17.6,-13.6,-13.8,-15.8,-13.4,-18.8,-15,-16.6,-18,-18.2,-17.2,-22.4,-18.2,-19.4,-20.6,-20.4,-19.8,-22.8,-23.6,-20,-21.6,-22.4,-23,-21,-23.4
,-1.166666667,-2.166666667,-1.5,-3.166666667,-1.833333333,-2.666666667,-1.5,-3.166666667,-3.5,-3.333333333,-3.5,-3.333333333,-4,-5,-4.166666667,-5.5,-5.5,-3.333333333,-4,-7.166666667,-5,-5.166666667,-6.333333333,-5.5,-6.166666667,-6.666666667,-7.5,-6.333333333,-6,-5.666666667,-8,-8.5,-7.833333333,-4.5,-7.166666667,-8.833333333,-9,-9.666666667,-9.833333333,-10,-9.666666667,-8.166666667,-11.83333333,-11.33333333,-11,-10,-8.833333333,-10,-11.66666667,-14,-10.5,-14,-13.83333333,-13.16666667,-13.16666667,-13.83333333,-13.83333333,-14.5,-14.66666667,-16.83333333,-14.66666667,-15,-14.16666667,-14.66666667,-16.5,-17.83333333,-18.83333333,-16.66666667,-17.16666667,-18.16666667,-16,-20.33333333,-18,-18.66666667,-20,-19.5,-19.5,-24.16666667,-21.66666667,-22.5,-22.83333333,-23.33333333,-22.66666667,-25,-25.16666667,-24.16666667,-24.33333333,-28,-27,-26.5,-28.16666667
,-1.285714286,-1.857142857,-1.571428571,-3.571428571,-2,-2.285714286,-2.142857143,-3.285714286,-3.285714286,-3.285714286,-3.714285714,-3.571428571,-4,-4.857142857,-4.428571429,-5.428571429,-5,-3.571428571,-4.571428571,-7,-5.285714286,-4.857142857,-6.714285714,-6,-6.142857143,-7.142857143,-8.285714286,-6.285714286,-7.142857143,-7.285714286,-8.285714286,-8.714285714,-9.142857143,-5.571428571,-7.857142857,-10.28571429,-9,-10.14285714,-10,-10.85714286,-10.42857143,-9.285714286,-13.57142857,-13.14285714,-11,-10.85714286,-9.571428571,-12,-12.71428571,-14.85714286,-12,-14.85714286,-14,-13.85714286,-14.42857143,-14.42857143,-16.14285714,-14.85714286,-15.14285714,-17.14285714,-16.42857143,-16.28571429,-16.57142857,-16.14285714,-18.28571429,-18.85714286,-20,-18.85714286,-19.71428571,-20.28571429,-19.57142857,-22.28571429,-20.42857143,-19.85714286,-22.28571429,-22,-21.71428571,-25.71428571,-23.71428571,-23.85714286,-25.14285714,-23.57142857,-23.71428571,-26.85714286,-26.28571429,-25.71428571,-26.85714286,-29.28571429,-29.71428571,-29.71428571,-29.57142857
,-1.875,-1.875,-1.75,-3.375,-2.375,-2.25,-2.5,-3.25,-3.875,-3.875,-3.75,-3.5,-4.25,-4.75,-4.625,-5.25,-4.625,-4.5,-5.875,-6.875,-6.125,-4.75,-7,-6.375,-6.75,-7.625,-8.625,-7.5,-7.125,-7.625,-7.75,-8.625,-9.125,-6.75,-8.5,-10,-9.25,-10.125,-10.75,-11.125,-11.125,-11.125,-14.75,-13.125,-12.125,-10.875,-11.5,-13,-12.75,-16.375,-12.875,-14.75,-14.625,-14.5,-14.625,-16.625,-18,-16.5,-16.125,-18.75,-16.75,-16.75,-18,-18.125,-18.5,-20.875,-20.375,-20.25,-21.75,-21.375,-19.875,-23,-22.125,-21.625,-23.125,-23.625,-22.625,-26.75,-24.125,-25.875,-25.875,-25.125,-24.375,-28.375,-28.125,-27.5,-28,-31.125,-31.75,-30.75,-30.625
,-1.777777778,-1.888888889,-1.888888889,-3.333333333,-2.555555556,-2.111111111,-2.777777778,-3.333333333,-3.666666667,-3.777777778,-3.666666667,-3.444444444,-4.222222222,-4.555555556,-4.888888889,-5,-4.555555556,-4.555555556,-5.666666667,-6.444444444,-6,-4.777777778,-6.777777778,-6.777777778,-7,-8,-8.666666667,-7.666666667,-7.222222222,-7.888888889,-7.666666667,-9,-9.444444444,-7.444444444,-9,-10.33333333,-10.11111111,-10.22222222,-10.33333333,-11.33333333,-11.22222222,-11.22222222,-14.66666667,-13,-13,-11.11111111,-11.66666667,-13.33333333,-13.33333333,-17,-13.22222222,-15.66666667,-14.66666667,-14.44444444,-15.66666667,-16.88888889,-18.33333333,-17,-16.66666667,-18.22222222,-16.88888889,-17.66666667,-18.22222222,-18.66666667,-18.22222222,-21,-20.88888889,-21.66666667,-21.66666667,-23.11111111,-20.11111111,-22.44444444,-21.77777778,-21.33333333,-22.66666667,-24.33333333,-24.55555556,-27,-24.66666667,-26.22222222,-26.22222222,-26,-25.22222222,-29.33333333,-28.55555556,-28.11111111,-28.44444444,-31.55555556,-31.88888889,-31.33333333,-33
,-1.7,-1.9,-1.7,-3.2,-2.5,-2.3,-2.8,-3.5,-3.5,-3.7,-3.6,-3.4,-4.1,-4.8,-4.7,-4.8,-4.4,-4.3,-5.4,-6.2,-5.7,-4.8,-6.8,-6.4,-6.9,-7.4,-8.9,-7.4,-7.6,-8.1,-7.5,-8.7,-9,-7.3,-8.6,-9.7,-10,-10.4,-10.8,-11.4,-11,-11.4,-14.7,-13.5,-12.8,-11.6,-12.2,-13,-12.9,-16.9,-13.4,-15.3,-15.3,-16.1,-16.7,-17.3,-18.4,-17.4,-16.6,-17.9,-17.1,-18.3,-18.7,-18.6,-18.5,-20.4,-22,-21.6,-22.2,-23,-21,-22,-22.2,-22.3,-23,-23.8,-25.4,-27.1,-25.1,-26.3,-26.9,-26.4,-25.8,-30,-29,-28.1,-28.8,-32,-33,-32.1,-33.7
