BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarscape 2 Constant Growback.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/21/2021 00:11:47:324 +0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,-0.00913242,-0.016806723,-0.007722008,-0.014388489,-0.013422819,-0.006269592,-0.005899705,-0.016806723,-0.021276596,-0.010050251,-0.00477327,-0.00913242,-0.004357298,0,-0.008032129,-0.007722008,-0.003710575,-0.007168459,-0.006920415,-0.003338898,-0.009724473,-0.012578616,-0.006079027,-0.01183432,-0.011494253,-0.008368201,-0.00270636,-0.005277045,-0.005141388,-0.007528231,-0.017220172,-0.007168459,-0.004662005,-0.006841505,-0.011173184,-0.004357298,-0.012847966,-0.006269592,-0.00408998,-0.014098691,-0.017804154,-0.013552759,-0.005676443,-0.005571031,-0.005469462,-0.00896861,-0.007042254,-0.010398614,-0.006802721,-0.001668057,-0.008230453,-0.008097166,-0.00477327,-0.004698512,-0.015503876,-0.007604563,-0.013523666,-0.005899705,-0.008733624,-0.008608321,-0.005649718,-0.006968641,-0.009635237,-0.005420054,-0.005347594,-0.010582011,-0.007822686,-0.00901481,-0.010178117,-0.003757044,-0.00619195,-0.004889976,-0.008469449,-0.007168459,-0.010644589,-0.004662005,-0.005763689,-0.007986309,-0.005633803,-0.007808143,-0.007722008,-0.013129103,-0.008639309,-0.009620524,-0.003162889,-0.005221932,-0.010362694,-0.007168459,-0.017320428,-0.014098691
,-0.010050251,-0.037037037,-0.033898305,-0.023346304,-0.028985507,-0.027027027,-0.025316456,-0.023809524,-0.039660057,-0.032085561,-0.03562341,-0.048780488,-0.022988506,-0.044444444,-0.016806723,-0.028397566,-0.027290448,-0.026266417,-0.018018018,-0.031523643,-0.037351443,-0.019543974,-0.025316456,-0.02764977,-0.026825633,-0.037845706,-0.031029619,-0.030178326,-0.021276596,-0.03125,-0.040816327,-0.05,-0.024096386,-0.021151586,-0.032332564,-0.031602709,-0.019758507,-0.043478261,-0.040382572,-0.01853759,-0.024291498,-0.04,-0.019417476,-0.024832856,-0.033898305,-0.025782689,-0.025316456,-0.019486271,-0.02443281,-0.024013722,-0.025316456,-0.046979866,-0.031122031,-0.025723473,-0.031746032,-0.039215686,-0.049689441,-0.04112719,-0.026825633,-0.038404727,-0.034883721,-0.018479033,-0.031029619,-0.036262204,-0.031571723,-0.025658339,-0.029372497,-0.035690681,-0.035225049,-0.03477141,-0.027883397,-0.028804008,-0.028447743,-0.036809816,-0.03021148,-0.031063321,-0.036708111,-0.03271028,-0.046511628,-0.029646522,-0.027027027,-0.022222222,-0.038781163,-0.039473684,-0.029141932,-0.03317282,-0.034976153,-0.04965663,-0.027935851,-0.045454545,-0.040816327
,-0.02020202,-0.056074766,-0.051282051,-0.063492063,-0.058823529,-0.054794521,-0.044728435,-0.029850746,-0.051282051,-0.04851752,-0.046035806,-0.079207921,-0.037037037,-0.06741573,-0.029598309,-0.049180328,-0.055335968,-0.030075188,-0.055045872,-0.049469965,-0.065404475,-0.049586777,-0.038216561,-0.046511628,-0.054380665,-0.058823529,-0.048364154,-0.035763411,-0.040268456,-0.063492063,-0.083333333,-0.065491184,-0.048780488,-0.040332147,-0.058479532,-0.07852194,-0.044444444,-0.070484581,-0.060085837,-0.045929019,-0.049180328,-0.050251256,-0.043222004,-0.046332046,-0.049335863,-0.050326188,-0.04007286,-0.044843049,-0.060390764,-0.048611111,-0.044293015,-0.06779661,-0.052980132,-0.050447518,-0.064516129,-0.058590657,-0.085308057,-0.074303406,-0.065299924,-0.070517629,-0.063375092,-0.044636429,-0.064516129,-0.062146893,-0.071378586,-0.05338809,-0.062415197,-0.076871207,-0.07723036,-0.055953155,-0.057877814,-0.046746684,-0.06159648,-0.075,-0.063882064,-0.05811138,-0.077294686,-0.065281899,-0.075471698,-0.061378112,-0.059496568,-0.056497175,-0.075578116,-0.074735081,-0.060273973,-0.060737527,-0.057877814,-0.084900591,-0.075172049,-0.077649528,-0.070393375
,-0.040816327,-0.0657277,-0.077922078,-0.08,-0.097378277,-0.068965517,-0.064516129,-0.073170732,-0.063037249,-0.059620596,-0.067183463,-0.110552764,-0.0657277,-0.095671982,-0.055674518,-0.092050209,-0.08,-0.06500956,-0.062615101,-0.086330935,-0.090592334,-0.073578595,-0.084690554,-0.088607595,-0.092307692,-0.098950525,-0.080924855,-0.075736325,-0.068027211,-0.082777036,-0.108036891,-0.094508301,-0.068965517,-0.074788902,-0.097735399,-0.102803738,-0.055865922,-0.098214286,-0.077922078,-0.076271186,-0.083333333,-0.094455852,-0.082082082,-0.08047105,-0.084942085,-0.083333333,-0.072155412,-0.080291971,-0.084456424,-0.081128748,-0.085143354,-0.112554113,-0.094594595,-0.084367246,-0.098360656,-0.106969206,-0.118780096,-0.095387021,-0.108527132,-0.113323124,-0.103681443,-0.09439528,-0.119205298,-0.099209202,-0.100780696,-0.092050209,-0.103806228,-0.105263158,-0.105263158,-0.08994709,-0.108036891,-0.083601286,-0.117495158,-0.099936749,-0.093457944,-0.100061767,-0.124768376,-0.103990326,-0.126888218,-0.099056604,-0.107728337,-0.108922364,-0.12716763,-0.139160437,-0.105263158,-0.107598447,-0.107574094,-0.136563877,-0.114347357,-0.122186495,-0.116402116
,-0.06185567,-0.095238095,-0.096069869,-0.12244898,-0.121212121,-0.076124567,-0.091503268,-0.098765432,-0.105263158,-0.082191781,-0.094240838,-0.13740458,-0.090261283,-0.134570766,-0.091503268,-0.123142251,-0.096774194,-0.088974855,-0.101313321,-0.116788321,-0.112676056,-0.108843537,-0.108731466,-0.101910828,-0.118380062,-0.130898021,-0.11143695,-0.09929078,-0.096551724,-0.142857143,-0.165087957,-0.138200782,-0.089552239,-0.1001221,-0.130750605,-0.127659574,-0.076749436,-0.121896163,-0.102957284,-0.100750268,-0.111932418,-0.129436326,-0.111675127,-0.117882118,-0.140733399,-0.115384615,-0.095416277,-0.132834425,-0.130394858,-0.109025916,-0.108963093,-0.153574581,-0.134251291,-0.13559322,-0.135112594,-0.146985962,-0.163934426,-0.144,-0.162162162,-0.147859922,-0.143950995,-0.138554217,-0.167042889,-0.15339233,-0.151162791,-0.127659574,-0.157558552,-0.153846154,-0.156185211,-0.120805369,-0.141900937,-0.127380171,-0.150819672,-0.151652625,-0.133333333,-0.135678392,-0.171717172,-0.152133581,-0.160834868,-0.144578313,-0.151823072,-0.166666667,-0.172373081,-0.190812721,-0.158438576,-0.146892655,-0.147651007,-0.184684685,-0.166943062,-0.162752594,-0.181025082
,-0.094240838,-0.105263158,-0.114537445,-0.157676349,-0.170542636,-0.090592334,-0.126245847,-0.118380062,-0.123893805,-0.116991643,-0.116402116,-0.159383033,-0.105263158,-0.154566745,-0.133333333,-0.155172414,-0.131147541,-0.121807466,-0.113207547,-0.152133581,-0.120141343,-0.149046794,-0.126245847,-0.122186495,-0.141732283,-0.143950995,-0.130177515,-0.111269615,-0.137834037,-0.181818182,-0.197802198,-0.155059133,-0.121212121,-0.115621156,-0.172839506,-0.171290712,-0.110091743,-0.148571429,-0.142857143,-0.118918919,-0.148227712,-0.16330859,-0.148760331,-0.163265306,-0.164328657,-0.180376611,-0.139446036,-0.169362512,-0.166199813,-0.129963899,-0.148612355,-0.194244604,-0.171628722,-0.172413793,-0.176870748,-0.18487395,-0.198168193,-0.200328407,-0.209585703,-0.197452229,-0.1875,-0.191358025,-0.205206738,-0.197140707,-0.197475872,-0.181818182,-0.210909091,-0.2,-0.194092827,-0.165867032,-0.175390891,-0.170127261,-0.201342282,-0.192866579,-0.160771704,-0.190721649,-0.223658694,-0.195583596,-0.198625859,-0.189421894,-0.192448234,-0.210078931,-0.22895215,-0.254545455,-0.214369847,-0.195262854,-0.195540309,-0.235023041,-0.21719457,-0.227221597,-0.233389168
,-0.116402116,-0.115384615,-0.133333333,-0.175732218,-0.178988327,-0.135231317,-0.133333333,-0.151898734,-0.168674699,-0.146892655,-0.127659574,-0.222222222,-0.156862745,-0.164705882,-0.152466368,-0.173913043,-0.162162162,-0.147117296,-0.141491396,-0.188679245,-0.142857143,-0.167832168,-0.162162162,-0.146341463,-0.165605096,-0.190923318,-0.155688623,-0.135642136,-0.159090909,-0.203389831,-0.244039271,-0.17218543,-0.14559387,-0.136645963,-0.205513784,-0.187120292,-0.152046784,-0.186046512,-0.176870748,-0.149122807,-0.176278564,-0.184154176,-0.194092827,-0.181069959,-0.204081633,-0.213279678,-0.174757282,-0.21574344,-0.20322887,-0.185185185,-0.183803458,-0.230347349,-0.220232766,-0.230088496,-0.222222222,-0.214650767,-0.241086587,-0.244556114,-0.257261411,-0.231204527,-0.220459952,-0.232704403,-0.258823529,-0.235834609,-0.23733938,-0.235469449,-0.255192878,-0.231884058,-0.242990654,-0.211336599,-0.237762238,-0.223747426,-0.245037645,-0.234185734,-0.204724409,-0.238314681,-0.276637988,-0.235067437,-0.234920635,-0.26031746,-0.23325062,-0.253869969,-0.261831592,-0.303405573,-0.260974143,-0.244536326,-0.244301578,-0.299940723,-0.258064516,-0.291666667,-0.300172513
,-0.139037433,-0.125603865,-0.171945701,-0.18487395,-0.196078431,-0.189781022,-0.140468227,-0.172523962,-0.188449848,-0.196531792,-0.144772118,-0.24,-0.162162162,-0.180094787,-0.162162162,-0.207505519,-0.180293501,-0.173038229,-0.166344294,-0.222222222,-0.154398564,-0.179261863,-0.173174873,-0.167487685,-0.182985554,-0.218700475,-0.175226586,-0.179675994,-0.183908046,-0.222222222,-0.259887006,-0.216216216,-0.170542636,-0.16080402,-0.239185751,-0.222222222,-0.172373081,-0.219598583,-0.206896552,-0.177777778,-0.2172949,-0.212581345,-0.22459893,-0.233930453,-0.231404959,-0.251791198,-0.196078431,-0.252964427,-0.235067437,-0.232734153,-0.222222222,-0.271880819,-0.252497729,-0.26618705,-0.265486726,-0.245250432,-0.277825712,-0.275042445,-0.324786325,-0.280991736,-0.272727273,-0.270183853,-0.298483639,-0.284820031,-0.271680737,-0.271006813,-0.285714286,-0.276422764,-0.290748899,-0.258756254,-0.279202279,-0.283298097,-0.319660537,-0.270861833,-0.245989305,-0.28956229,-0.321187584,-0.264150943,-0.278317152,-0.323759791,-0.294455067,-0.292191436,-0.307210031,-0.361904762,-0.30958231,-0.28502706,-0.292537313,-0.337349398,-0.315416421,-0.343195266,-0.343292326
,-0.173913043,-0.125603865,-0.181818182,-0.194092827,-0.231075697,-0.21402214,-0.147651007,-0.193548387,-0.215384615,-0.202898551,-0.150537634,-0.258064516,-0.167487685,-0.211538462,-0.191780822,-0.222222222,-0.203389831,-0.204081633,-0.183235867,-0.248062016,-0.177858439,-0.202486679,-0.191780822,-0.189054726,-0.197092084,-0.24,-0.205206738,-0.208955224,-0.222222222,-0.257597685,-0.29226361,-0.240437158,-0.193211488,-0.17721519,-0.273901809,-0.25281602,-0.180094787,-0.251497006,-0.229965157,-0.209695603,-0.247191011,-0.254143646,-0.248648649,-0.255319149,-0.25,-0.289281998,-0.246740221,-0.293762575,-0.270058708,-0.26487524,-0.264150943,-0.301886792,-0.287822878,-0.292993631,-0.306306306,-0.280701754,-0.307692308,-0.3183391,-0.363162467,-0.317380353,-0.304526749,-0.320261438,-0.333873582,-0.301024429,-0.317932655,-0.313030069,-0.329501916,-0.324528302,-0.344102179,-0.298181818,-0.322206096,-0.330935252,-0.375090514,-0.320055905,-0.295081967,-0.31292517,-0.378976487,-0.301587302,-0.315789474,-0.370173103,-0.333117304,-0.33933162,-0.346938776,-0.396907216,-0.351469669,-0.328431373,-0.337188071,-0.380368098,-0.371445856,-0.391304348,-0.38948626
