"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 2 Constant Growback.nlogo"
"initialpop_vs_growback"
"02/17/2021 19:26:51:868 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8"
"visualization","no-visualization",,"no-visualization",,"no-visualization",,"no-visualization",,"no-visualization",,"no-visualization",,"no-visualization",,"no-visualization",
"growback-rate","0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",
"initial-population","200",,"200",,"200",,"200",,"200",,"400",,"400",,"400",
"[reporter]","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)"
"[final]","0.46","1.188857210738892","0.475","1.1395225769341386","0.43","1.2110242724615576","0.44","1.2651856681569797","0.47","1.268643181025462","0.4125","0.7545769167080641","0.425","0.758463516554163","0.4275","0.723311922794235"
"[min]","0.46","1.1126757773816593","0.475","1.07363963963964","0.43","1.0525079799361607","0.44","1.0640325129826147","0.47","1.2021495327102811","0.4125","0.7531506615450273","0.425","0.7570266400555363","0.4275","0.7232095820287258"
"[max]","1","15.225","1","15.455","1","14.45","1","14.525","1","14.645","1","14.7725","1","15.2875","1","14.475"
"[mean]","0.48836065573770826","1.2673605404786767","0.5071038251366093","1.222667044517942","0.46295081967213464","1.2640091104097788","0.47121584699453384","1.3119982947539532","0.4978551912568288","1.3501444264941647","0.43743169398906917","0.8834175591223903","0.453142076502737","0.9024660457146159","0.448620218579235","0.8543392925235792"
"[steps]","365","365","365","365","365","365","365","365","365","365","365","365","365","365","365","365"

