maximum-sugar-endowment,minimum-sugar-endowment,initial-population,gini-index,survival-ratio,mean-sugar,median-sugar,sd-sugar
20,10,1000,0.35642678,0.406,937.8694581,781.5,586.2838904
20,15,20,0.501911013,0.65,1387,1019,1318.237017
20,15,40,0.382169567,0.75,1591.266667,1756.5,1095.087209
20,15,60,0.295080955,0.633333333,1751.789474,1986.5,937.6762294
20,15,80,0.280931707,0.675,1785.648148,1963,902.6934781
20,15,100,0.345697742,0.61,1650.065574,1687,1007.25316
20,15,120,0.336137434,0.533333333,1588.453125,1494,949.416177
20,15,140,0.352706216,0.592857143,1570.783133,1788,976.3407423
20,15,160,0.334684747,0.6375,1472.156863,1512,860.4143918
20,15,180,0.320386952,0.65,1459.059829,1546,814.8633722
20,15,200,0.328879654,0.615,1409.430894,1450,812.3183286
20,15,220,0.392848267,0.572727273,1292.825397,1302.5,889.5743079
20,15,240,0.370990053,0.595833333,1329.58042,1417,863.57743
20,15,260,0.353513955,0.611538462,1362.113208,1401,843.0366899
20,15,280,0.354768133,0.582142857,1334.312883,1291,830.7391735
20,15,300,0.372583595,0.576666667,1279.450867,1258,835.9292171
20,15,320,0.408374435,0.63125,1138.09901,1183,815.6259264
20,15,340,0.379187907,0.594117647,1208.658416,1154.5,805.7110991
20,15,360,0.397826303,0.6,1124.231481,1159,787.6224938
20,15,380,0.382253788,0.563157895,1218.705607,1176.5,820.9550046
20,15,400,0.377142751,0.575,1194.904348,1171,795.6971618
20,15,420,0.406992339,0.55,1133.532468,1130,819.7773492
20,15,440,0.408344524,0.531818182,1112.769231,1109,804.3373823
20,15,460,0.401478472,0.563043478,1099.521236,1044,783.6044837
20,15,480,0.358695005,0.5,1172.425,1115.5,739.7778493
20,15,500,0.364529307,0.498,1153.827309,1065,747.3145513
20,15,520,0.355763696,0.501923077,1191.770115,1084,754.6108172
20,15,540,0.36145449,0.488888889,1130.488636,1043,724.241016
20,15,560,0.347750567,0.489285714,1133.105839,1046,694.1273329
20,15,580,0.315953355,0.489655172,1218.341549,1049.5,685.8719345
20,15,600,0.32582166,0.466666667,1155.942857,1035,668.7857694
20,15,620,0.298783582,0.480645161,1182.869128,1042.5,625.6983167
20,15,640,0.302829291,0.4640625,1227.340067,1025,664.8325146
20,15,660,0.321986652,0.462121212,1171.891803,1026,670.5624981
20,15,680,0.341520394,0.426470588,1178.224138,1038.5,712.8583975
20,15,700,0.282537585,0.448571429,1208.802548,1008,609.8149506
20,15,720,0.292220278,0.440277778,1178.176656,950,617.3499923
20,15,740,0.313839116,0.462162162,1111.274854,969.5,613.2610017
20,15,760,0.323966079,0.440789474,1140.573134,1003,651.466186
20,15,780,0.322987512,0.464102564,1057.444751,903.5,600.2134602
20,15,800,0.328211287,0.44375,1072.912676,964,617.8253238
20,15,820,0.344418074,0.42804878,1043.977208,904,633.3516961
20,15,840,0.335479649,0.447619048,980.162234,839,575.9447406
20,15,860,0.338958272,0.423255814,1016.532967,895.5,603.0071031
20,15,880,0.341846843,0.456818182,961.5174129,775,577.8796102
20,15,900,0.332110048,0.427777778,969.8155844,776,567.3741415
20,15,920,0.361373034,0.429347826,937.3848101,756,597.5853177
20,15,940,0.358540282,0.453191489,889.3497653,646.5,564.4174986
20,15,960,0.364236568,0.429166667,900.2548544,668,579.6414913
20,15,980,0.353645245,0.435714286,917.2318501,1050,572.2072412
20,15,1000,0.368605595,0.429,890.4009324,677,578.7065198
20,20,20,0.302313652,0.75,1673.933333,1860,948.8251733
20,20,40,0.328531612,0.775,1819.645161,2010,1106.41317
20,20,60,0.281269832,0.7,1677.428571,1801,849.0606903
20,20,80,0.303362783,0.625,1665.5,1843.5,902.5754816
20,20,100,0.297908669,0.59,1668.983051,1867,892.445642
20,20,120,0.305636288,0.575,1528.521739,1836,831.5665162
20,20,140,0.346988488,0.607142857,1543.329412,1733,942.331258
20,20,160,0.336960465,0.60625,1553.824742,1698,917.4247245
20,20,180,0.366898257,0.6,1379.87963,1446.5,883.0909895
20,20,200,0.347235706,0.575,1396.365217,1452,845.1045127
20,20,220,0.366988992,0.631818182,1292.776978,1274,830.4423218
20,20,240,0.350639372,0.5625,1361.022222,1435,833.7476037
20,20,260,0.413333102,0.584615385,1193.401316,1183.5,867.5830419
20,20,280,0.369400118,0.621428571,1240.034483,1235.5,802.2553678
20,20,300,0.395669353,0.583333333,1216.994286,1147,842.9857343
20,20,320,0.357878638,0.553125,1224.553672,1220,772.6138991
20,20,340,0.370387579,0.585294118,1224.834171,1239,799.3079441
20,20,360,0.400038468,0.586111111,1120.293839,1109,787.6580288
20,20,380,0.410259836,0.557894737,1121.179245,1108,807.0716982
20,20,400,0.3916909,0.565,1129.929204,1098,780.6330106
20,20,420,0.433924462,0.60952381,1034.433594,1075.5,794.517061
20,20,440,0.398353356,0.568181818,1098.84,1046,773.5821584
20,20,460,0.381539085,0.552173913,1134.834646,1103.5,764.4311715
20,20,480,0.360103677,0.541666667,1183.246154,1085.5,758.4260023
20,20,500,0.367182913,0.534,1094.082397,1031,712.2291919
20,20,520,0.371659684,0.517307692,1073.457249,1036,709.1475247
20,20,540,0.358516678,0.505555556,1175.611722,1095,746.8700347
20,20,560,0.377453303,0.496428571,1140.97482,1051,765.4321986
20,20,580,0.331851447,0.463793103,1180.130112,1053,696.87382
20,20,600,0.327797592,0.466666667,1184.703571,1023,694.1563157
20,20,620,0.281493797,0.45,1239.81362,1038,627.3269038
20,20,640,0.301180111,0.4578125,1211.979522,1023,650.5614642
20,20,660,0.306310935,0.448484848,1215.172297,1028,667.1109638
20,20,680,0.328246585,0.447058824,1194.582237,1069,696.9524039
20,20,700,0.319923542,0.455714286,1147.84953,981,649.8127325
20,20,720,0.327261551,0.438888889,1061.768987,912,614.9710746
20,20,740,0.328150494,0.460810811,1057.621701,909,611.5734149
20,20,760,0.292322608,0.421052632,1151.5375,948,596.1449234
20,20,780,0.285816505,0.411538462,1190.866044,1092,604.2452866
20,20,800,0.327373994,0.47375,1010.319261,803,583.000137
20,20,820,0.304074418,0.436585366,1087.094972,1080,584.3631616
20,20,840,0.314689321,0.423809524,1063.603933,866,591.0427194
20,20,860,0.346027153,0.465116279,958.5475,794.5,581.7907691
20,20,880,0.325717531,0.443181818,973.5948718,713,561.7047866
20,20,900,0.352713777,0.438888889,930.0405063,737,577.8390502
20,20,920,0.374746855,0.473913043,867.5045872,686.5,571.5128723
20,20,940,0.348771127,0.44787234,922.9881235,1025,569.5635232
20,20,960,0.342906148,0.421875,946.8395062,715,574.2185748
20,20,980,0.361276437,0.453061224,854.5608108,571,549.293898
20,20,1000,0.389041244,0.425,830.9223529,628,572.9794574
25,0,20,0.409505662,0.8,1436.4375,1462,1086.822339
25,0,40,0.350455245,0.65,1456.884615,1016,943.7082315
25,0,60,0.372019135,0.75,1520.044444,1809,1012.39904
25,0,80,0.299883911,0.725,1680.448276,1862,897.0854792
25,0,100,0.279461757,0.67,1716.164179,1778,847.0117991
25,0,120,0.332381226,0.708333333,1634.764706,1792,955.4925761
25,0,140,0.316867559,0.635714286,1621.11236,1720,904.6763791
25,0,160,0.338508674,0.66875,1472.813084,1531,870.0172643
25,0,180,0.350660944,0.65,1386.769231,1415,847.836622
25,0,200,0.396164886,0.615,1215.073171,1304,844.6769406
25,0,220,0.372698705,0.654545455,1245.027778,1194.5,811.6912064
25,0,240,0.377067688,0.5875,1263.007092,1267,831.9709258
25,0,260,0.399833417,0.592307692,1179.38961,1204,828.7938027
25,0,280,0.34238167,0.546428571,1384.620915,1329,831.5466567
25,0,300,0.410967285,0.576666667,1188.421965,1189,857.5915511
25,0,320,0.412493796,0.55625,1132.426966,1146,819.3231103
25,0,340,0.401229672,0.597058824,1130.369458,1118,797.951577
25,0,360,0.39767429,0.602777778,1191.258065,1165,839.0285155
25,0,380,0.378798855,0.565789474,1191.437209,1205,799.6827493
25,0,400,0.398340529,0.57,1173.780702,1146,827.7112891
25,0,420,0.357005364,0.545238095,1208.240175,1116,761.2397661
25,0,440,0.370113559,0.568181818,1138.368,1082.5,749.6740554
25,0,460,0.385865121,0.55,1102.213439,1072,753.6287781
25,0,480,0.357842842,0.527083333,1138.604743,1061,721.1980015
25,0,500,0.377826843,0.53,1127.033962,1060,755.1104643
25,0,520,0.348548642,0.521153846,1162.664207,1051,722.9320096
25,0,540,0.386566364,0.505555556,1110.611722,1055,761.2462761
25,0,560,0.338749129,0.492857143,1172.105072,1033,704.669671
25,0,580,0.35111471,0.496551724,1101.659722,987,685.6152166
25,0,600,0.276879167,0.466666667,1243.75,1033,620.4669143
25,0,620,0.304718822,0.459677419,1216.210526,1034,660.6518371
25,0,640,0.301354491,0.4375,1201.807143,1001.5,651.2571234
25,0,660,0.340244438,0.466666667,1159.974026,1039,699.9044928
25,0,680,0.328003743,0.448529412,1151.47541,984,669.9437036
25,0,700,0.316052143,0.444285714,1170.045016,976,660.8035318
25,0,720,0.283852701,0.434722222,1191.223642,956,602.7525121
25,0,740,0.311616444,0.466216216,1085.82029,900,597.8456791
25,0,760,0.32943681,0.430263158,1070.269113,962,618.5855534
25,0,780,0.316023158,0.420512821,1143.993902,955,642.4362413
25,0,800,0.339324037,0.4175,1120.823353,993.5,670.5767106
25,0,820,0.324226054,0.447560976,1026.640327,866,582.9775571
25,0,840,0.335185426,0.428571429,1034.936111,912.5,608.1130309
25,0,860,0.365661662,0.463953488,905.4360902,803,578.9449209
25,0,880,0.327062632,0.417045455,1031.452316,801,597.4020918
25,0,900,0.357629722,0.447777778,929.1389578,705,587.8625677
25,0,920,0.342741795,0.429347826,932.9746835,737,563.3870462
25,0,940,0.331651931,0.432978723,957.1056511,1046,561.6183917
25,0,960,0.370754772,0.446875,849.9347319,604,559.4609016
25,0,980,0.362731293,0.45,855.2857143,597,549.5554526
25,0,1000,0.370845752,0.429,879.4825175,677,573.8548188
25,5,20,0.392075697,0.85,1621.588235,1982,1168.635104
25,5,40,0.375351687,0.775,1565.322581,1531,1058.403621
25,5,60,0.403100388,0.65,1501.102564,1524,1080.60521
25,5,80,0.356351763,0.7,1526.017857,1542.5,962.203352
25,5,100,0.234474593,0.65,1758.938462,1793,731.9743395
25,5,120,0.284148682,0.683333333,1628.536585,1784,814.8780594
25,5,140,0.332650085,0.557142857,1443.205128,1581,844.7024891
25,5,160,0.322634458,0.6375,1413.470588,1531.5,799.903592
25,5,180,0.35713013,0.588888889,1407.971698,1449.5,877.330686
25,5,200,0.367218366,0.635,1338.259843,1420,857.2946764
25,5,220,0.330676326,0.618181818,1394.838235,1389.5,805.9949565
25,5,240,0.358588876,0.620833333,1325.966443,1352,832.1625963
25,5,260,0.357177909,0.623076923,1232.41358,1262,769.0359832
25,5,280,0.349634698,0.582142857,1371.153374,1348,841.2261303
25,5,300,0.381171039,0.57,1264.888889,1191,843.7995123
25,5,320,0.406653681,0.596875,1144.575916,1151,817.5453718
25,5,340,0.368711589,0.626470588,1235.788732,1201,803.5912891
25,5,360,0.382972736,0.552777778,1241.80402,1212,836.1104434
25,5,380,0.403232751,0.576315789,1088.995434,1100,771.7234763
25,5,400,0.378089534,0.5825,1151.369099,1103,768.1713908
25,5,420,0.353109831,0.564285714,1207.915612,1106,755.585799
25,5,440,0.4185963,0.561363636,1081.449393,1100,800.7770188
25,5,460,0.434712306,0.515217391,1054.177215,1067,811.1524302
25,5,480,0.359045156,0.508333333,1172.852459,1087,744.6762676
25,5,500,0.362205298,0.516,1144.267442,1079,731.7842981
25,5,520,0.378531422,0.496153846,1119.306202,1061,746.7806516
25,5,540,0.334294532,0.52037037,1176.106762,1043,699.6484852
25,5,560,0.339193782,0.489285714,1200.864964,1061.5,726.3252685
25,5,580,0.344644171,0.475862069,1183.438406,1050,726.3712698
25,5,600,0.29368985,0.476666667,1218.265734,1035,641.1501119
25,5,620,0.308006708,0.477419355,1189.793919,1040,651.5788971
25,5,640,0.31818765,0.4609375,1201.281356,1032,680.8421597
25,5,660,0.314907777,0.451515152,1178.862416,1059,654.9039135
25,5,680,0.301177045,0.442647059,1186.076412,987,637.1204053
25,5,700,0.299525642,0.447142857,1134.408946,953,603.0513002
25,5,720,0.289032738,0.441666667,1172.72327,971.5,604.2193641
25,5,740,0.282272375,0.458108108,1132.893805,1120,567.020371
25,5,760,0.314715636,0.426315789,1156.25,992.5,644.3149162
25,5,780,0.29228259,0.423076923,1105.487879,896.5,580.8154587
25,5,800,0.327120841,0.4675,1053.438503,1053,604.4639929
25,5,820,0.321201583,0.415853659,1037.545455,879,588.7403716
25,5,840,0.322623172,0.426190476,1086.594972,1055,618.2934911
25,5,860,0.316024872,0.408139535,1061.51567,836,597.7791271
25,5,880,0.361267032,0.471590909,872.6457831,626,559.5736363
25,5,900,0.356685028,0.441111111,929.4987406,739,583.4532242
25,5,920,0.361138066,0.440217391,910.1604938,727,578.3733561
25,5,940,0.338714165,0.423404255,981.5,883.5,586.9893075
25,5,960,0.359395438,0.422916667,882.1059113,668.5,560.2937643
25,5,980,0.353398662,0.439795918,896.9303944,719,558.7799166
25,5,1000,0.370001632,0.435,886.2068966,691,579.7166108
25,10,20,0.327655132,0.75,1768.4,1996,1072.303782
25,10,40,0.343087942,0.65,1408.346154,1022.5,879.8945365
25,10,60,0.324636837,0.633333333,1764.368421,1996,1035.533142
25,10,80,0.345175176,0.6625,1586.056604,1617,969.4631428
25,10,100,0.359672763,0.65,1484.938462,1270,943.2732219
25,10,120,0.318828216,0.6,1594.291667,1613.5,890.7535414
25,10,140,0.339144746,0.6,1563.369048,1548,933.4907125
25,10,160,0.363710758,0.60625,1404.298969,1376,892.8124589
25,10,180,0.346966464,0.605555556,1367.137615,1512,829.2690274
25,10,200,0.32878734,0.635,1393.669291,1417,801.0626381
25,10,220,0.380489806,0.6,1282.848485,1181.5,852.6660612
25,10,240,0.352524295,0.625,1292.626667,1359,798.4004945
25,10,260,0.341799788,0.569230769,1376.344595,1426,823.8532059
25,10,280,0.3529711,0.628571429,1247.488636,1269,772.1406311
25,10,300,0.385954248,0.61,1187.551913,1154,805.6041663
25,10,320,0.336321193,0.615625,1290.964467,1248,766.3486536
25,10,340,0.373333329,0.611764706,1194.168269,1170.5,786.6100173
25,10,360,0.393116061,0.583333333,1162.461905,1192.5,801.6860051
25,10,380,0.369268278,0.584210526,1197.09009,1139.5,781.2490643
25,10,400,0.324616591,0.5975,1296.974895,1216,750.9916353
25,10,420,0.369267492,0.514285714,1207.263889,1143,784.2059232
25,10,440,0.389211365,0.559090909,1145.784553,1116.5,789.8607926
25,10,460,0.39565238,0.52173913,1090.233333,1079,765.807089
25,10,480,0.365141933,0.522916667,1185.083665,1083,768.6155066
25,10,500,0.401964041,0.518,1065.617761,1049,757.0525136
25,10,520,0.311989458,0.509615385,1243.85283,1087,692.7777511
25,10,540,0.333829495,0.494444444,1156.606742,1034,687.9715081
25,10,560,0.384026525,0.485714286,1070.602941,1055.5,727.910519
25,10,580,0.323153545,0.448275862,1248.238462,1074,724.4887299
25,10,600,0.30844101,0.48,1227.916667,1077,675.7325255
25,10,620,0.314170394,0.451612903,1170.989286,1025,655.7087248
25,10,640,0.320737325,0.4765625,1125.708197,1021,638.9297255
25,10,660,0.285145122,0.439393939,1261.627586,1050,645.5078036
25,10,680,0.303506523,0.427941176,1190.024055,1024,642.5986167
25,10,700,0.298055422,0.45,1215.171429,982,649.0813958
25,10,720,0.3272364,0.441666667,1156.084906,1017,669.1979349
25,10,740,0.273702744,0.424324324,1195.251592,1019,580.0061725
25,10,760,0.328010924,0.448684211,1050.146628,871,611.2592467
25,10,780,0.306600436,0.421794872,1173.173252,1125,634.0558352
25,10,800,0.32853769,0.44625,1025.759104,861,592.7595987
25,10,820,0.339157174,0.452439024,1041.09973,875,623.1967745
25,10,840,0.347627483,0.463095238,995.7069409,880,603.9973514
25,10,860,0.348300423,0.454651163,951.8925831,784,583.1173464
25,10,880,0.328463957,0.431818182,986.8315789,758,573.3561042
25,10,900,0.340879425,0.452222222,955.0884521,1044,573.5387447
25,10,920,0.368342122,0.441304348,882.0837438,652,575.7615915
25,10,940,0.360771681,0.421276596,929.229798,748.5,590.82597
25,10,960,0.366009981,0.4375,870.952381,617,565.1452409
25,10,980,0.371959795,0.435714286,881.6557377,675,578.7652155
25,10,1000,0.325413459,0.398,936.8844221,667,541.4947004
25,15,20,0.374081163,0.7,1707.785714,1948.5,1189.894448
25,15,40,0.358427845,0.725,1812.103448,2016,1199.378748
25,15,60,0.350770028,0.75,1698,1947,1062.02889
25,15,80,0.261502258,0.675,1874.351852,1953,874.9177677
25,15,100,0.276948546,0.61,1703.639344,1904,849.2472948
25,15,120,0.266668831,0.625,1809.173333,1889,856.3761231
25,15,140,0.24765785,0.528571429,1949.324324,2008,865.4178199
25,15,160,0.312932264,0.56875,1452.384615,1552,798.4051988
25,15,180,0.347639791,0.588888889,1451.669811,1581,881.0439124
25,15,200,0.386448003,0.585,1305.606838,1414,881.24161
25,15,220,0.380813219,0.645454545,1261.478873,1224.5,838.1470674
25,15,240,0.334829452,0.604166667,1331.786207,1408,780.6353021
25,15,260,0.385465912,0.615384615,1136.49375,1131.5,769.6945322
25,15,280,0.377731398,0.617857143,1238.82659,1258,819.7676103
25,15,300,0.379664107,0.616666667,1251.491892,1208,833.0791961
25,15,320,0.382510416,0.640625,1160.780488,1170,782.2040602
25,15,340,0.409219017,0.585294118,1147.994975,1120,828.3819112
25,15,360,0.390888941,0.572222222,1136.640777,1157.5,780.5333055
25,15,380,0.392734174,0.555263158,1171.606635,1172,813.3815667
25,15,400,0.37552219,0.57,1152.083333,1134.5,760.0879772
25,15,420,0.412511445,0.569047619,1094.623431,1063,801.9854305
25,15,440,0.410765792,0.543181818,1082.824268,1099,789.9829394
25,15,460,0.342051559,0.519565217,1229.857741,1119,752.0441364
25,15,480,0.367297921,0.510416667,1190.771429,1089,773.5346676
25,15,500,0.364634792,0.514,1113.501946,1057,717.8978325
25,15,520,0.379714835,0.498076923,1128.926641,1059,762.375616
