"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2-change.nlogo"
"exp3-2"
"03/07/2024 02:43:25:207 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"20","0","color-agents-by-vision","0","0","0","N/A","1","N/A","0","N/A","0","N/A","0","N/A"
"20","0","color-agents-by-vision","20","1000","0.3259769169435695","N/A","0.65","N/A","1641.7692307692307","N/A","1844","N/A","996.6219739572066","N/A"
"20","0","color-agents-by-vision","40","1000","0.42688428110970417","N/A","0.7","N/A","1419.642857142857","N/A","1021","N/A","1098.6323219512424","N/A"
"20","0","color-agents-by-vision","60","1000","0.31379018246590445","N/A","0.7666666666666667","N/A","1684.3695652173913","N/A","1945.5","N/A","953.6121820319864","N/A"
"20","0","color-agents-by-vision","80","1000","0.3406744279044529","N/A","0.55","N/A","1608.4318181818182","N/A","1173","N/A","992.576243869604","N/A"
"20","0","color-agents-by-vision","100","1000","0.35594649581092286","N/A","0.66","N/A","1521.4848484848485","N/A","1248.5","N/A","960.1545747738785","N/A"
"20","0","color-agents-by-vision","120","1000","0.29756496103422936","N/A","0.575","N/A","1666.536231884058","N/A","1841","N/A","872.2157312019663","N/A"
"20","0","color-agents-by-vision","140","1000","0.3223071959876089","N/A","0.6","N/A","1676.2619047619048","N/A","1703","N/A","952.5170348417914","N/A"
"20","0","color-agents-by-vision","160","1000","0.28089402335145847","N/A","0.6","N/A","1710.4479166666667","N/A","1739","N/A","847.6398300394446","N/A"
"20","0","color-agents-by-vision","180","1000","0.3741427470953667","N/A","0.5611111111111111","N/A","1340.2970297029703","N/A","1395","N/A","878.5479900899489","N/A"
"20","0","color-agents-by-vision","200","1000","0.3479430301808555","N/A","0.56","N/A","1399.6607142857142","N/A","1485","N/A","851.3626126760255","N/A"
"20","0","color-agents-by-vision","220","1000","0.3590968578083889","N/A","0.5590909090909091","N/A","1413.1463414634147","N/A","1495","N/A","889.3257778026983","N/A"
"20","0","color-agents-by-vision","240","1000","0.36555071142721474","N/A","0.5875","N/A","1280.7659574468084","N/A","1275","N/A","817.6808549471561","N/A"
"20","0","color-agents-by-vision","260","1000","0.30869424864915757","N/A","0.6","N/A","1447.25","N/A","1436.5","N/A","786.6620098504411","N/A"
"20","0","color-agents-by-vision","280","1000","0.376100061677851","N/A","0.5678571428571428","N/A","1270.3836477987422","N/A","1236","N/A","835.4322219381007","N/A"
"20","0","color-agents-by-vision","300","1000","0.37139408124647466","N/A","0.6266666666666667","N/A","1226.6436170212767","N/A","1216.5","N/A","797.8941773827439","N/A"
"20","0","color-agents-by-vision","320","1000","0.4016381599742583","N/A","0.603125","N/A","1162.2435233160622","N/A","1207","N/A","820.3129152519715","N/A"
"20","0","color-agents-by-vision","340","1000","0.4156407779133138","N/A","0.6","N/A","1140.0049019607843","N/A","1100","N/A","838.7223540409368","N/A"
"20","0","color-agents-by-vision","360","1000","0.396585942046551","N/A","0.5638888888888889","N/A","1147.1576354679803","N/A","1160","N/A","801.1620982680794","N/A"
"20","0","color-agents-by-vision","380","1000","0.37945631534559476","N/A","0.5684210526315789","N/A","1179.9583333333333","N/A","1179.5","N/A","786.8533169796387","N/A"
"20","0","color-agents-by-vision","400","1000","0.3794818427401426","N/A","0.5575","N/A","1114.9013452914799","N/A","1115","N/A","746.0522100585972","N/A"
"20","0","color-agents-by-vision","420","1000","0.3948564310484008","N/A","0.569047619047619","N/A","1096.3514644351465","N/A","1087","N/A","766.0693807494176","N/A"
"20","0","color-agents-by-vision","440","1000","0.39674753124207746","N/A","0.5454545454545454","N/A","1124.1875","N/A","1077","N/A","787.1842159248719","N/A"
"20","0","color-agents-by-vision","460","1000","0.3555343925545828","N/A","0.5304347826086957","N/A","1238.233606557377","N/A","1174.5","N/A","781.125672074456","N/A"
"20","0","color-agents-by-vision","480","1000","0.3394538111877959","N/A","0.5395833333333333","N/A","1203.4633204633205","N/A","1082","N/A","728.3670341524901","N/A"
"20","0","color-agents-by-vision","500","1000","0.3564268712030464","N/A","0.542","N/A","1165.0479704797049","N/A","1069","N/A","736.8391461641678","N/A"
"20","0","color-agents-by-vision","520","1000","0.370154371983256","N/A","0.5288461538461539","N/A","1155.7890909090909","N/A","1053","N/A","759.1572540501127","N/A"
"20","0","color-agents-by-vision","540","1000","0.34605353999648447","N/A","0.48703703703703705","N/A","1123.106463878327","N/A","1066","N/A","688.5457432375702","N/A"
"20","0","color-agents-by-vision","560","1000","0.3389448628147048","N/A","0.46964285714285714","N/A","1180.8669201520913","N/A","1057","N/A","713.4324950338673","N/A"
"20","0","color-agents-by-vision","580","1000","0.33769114669825223","N/A","0.5137931034482759","N/A","1103.4496644295302","N/A","996.5","N/A","655.5530313552664","N/A"
"20","0","color-agents-by-vision","600","1000","0.2714409375359811","N/A","0.46166666666666667","N/A","1310.389891696751","N/A","1256","N/A","642.0716806446595","N/A"
"20","0","color-agents-by-vision","620","1000","0.26549164618369625","N/A","0.4612903225806452","N/A","1273.062937062937","N/A","1036.5","N/A","609.3940126811997","N/A"
"20","0","color-agents-by-vision","640","1000","0.30862626223958856","N/A","0.471875","N/A","1136.523178807947","N/A","1010","N/A","621.7247987450552","N/A"
"20","0","color-agents-by-vision","660","1000","0.30177848885785685","N/A","0.43333333333333335","N/A","1243.4545454545455","N/A","1038","N/A","672.581773308111","N/A"
"20","0","color-agents-by-vision","680","1000","0.26636987606828094","N/A","0.4514705882352941","N/A","1228.885993485342","N/A","981","N/A","587.7838710928546","N/A"
