"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 3-change.nlogo"
"mean-sugar-by-max-endowment"
"03/06/2024 00:13:52:139 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","visualization","initial-population","[step]","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"680","color-agents-by-vision","400","300","345.97375","N/A","344","N/A","196.3218717547353","N/A"
"690","color-agents-by-vision","400","300","340.41875","N/A","329.25","N/A","197.19440888388056","N/A"
"700","color-agents-by-vision","400","300","358.70875","N/A","358.75","N/A","198.45645227407343","N/A"
"710","color-agents-by-vision","400","300","361.28499999999997","N/A","365.25","N/A","204.43951985799453","N/A"
"720","color-agents-by-vision","400","300","367.5475","N/A","368","N/A","209.96381197894334","N/A"
"730","color-agents-by-vision","400","300","366.14750000000004","N/A","364.5","N/A","217.001876505991","N/A"
"740","color-agents-by-vision","400","300","388.65375","N/A","396.5","N/A","210.0163760345289","N/A"
"750","color-agents-by-vision","400","300","383.84375","N/A","371.5","N/A","213.44470259630242","N/A"
"760","color-agents-by-vision","400","300","393.15875","N/A","384.25","N/A","219.93883214529092","N/A"
"770","color-agents-by-vision","400","300","385.86375","N/A","378.25","N/A","215.05699733114176","N/A"
"780","color-agents-by-vision","400","300","384.49","N/A","383.5","N/A","220.2146014524668","N/A"
"790","color-agents-by-vision","400","300","390.065","N/A","392.75","N/A","228.27433419245182","N/A"
"800","color-agents-by-vision","400","300","414.13625","N/A","419.75","N/A","232.9091656009057","N/A"
"810","color-agents-by-vision","400","300","434.60375","N/A","444","N/A","233.47692073343842","N/A"
"820","color-agents-by-vision","400","300","425.0625","N/A","425.25","N/A","239.16659880294077","N/A"
"830","color-agents-by-vision","400","300","414.49749999999995","N/A","405","N/A","234.55645627038558","N/A"
"840","color-agents-by-vision","400","300","427.54625","N/A","436.25","N/A","238.96500632397684","N/A"
"850","color-agents-by-vision","400","300","439.9275","N/A","438.5","N/A","243.5979328873369","N/A"
"860","color-agents-by-vision","400","300","448.39750000000004","N/A","453","N/A","245.88569699571502","N/A"
"870","color-agents-by-vision","400","300","448.65250000000003","N/A","450.25","N/A","252.2638219185019","N/A"
"880","color-agents-by-vision","400","300","435.47125","N/A","429.25","N/A","248.04134761813103","N/A"
"890","color-agents-by-vision","400","300","446.83375","N/A","440.5","N/A","255.23229930428758","N/A"
"900","color-agents-by-vision","400","300","436.37874999999997","N/A","419.5","N/A","252.25915311623388","N/A"
"910","color-agents-by-vision","400","300","464.74125000000004","N/A","474.25","N/A","258.29226518947337","N/A"
"920","color-agents-by-vision","400","300","472.6275","N/A","481.25","N/A","265.4976931080008","N/A"
"930","color-agents-by-vision","400","300","484.1625","N/A","486.25","N/A","266.9105537960124","N/A"
"940","color-agents-by-vision","400","300","477.05","N/A","487","N/A","270.4506071723265","N/A"
"950","color-agents-by-vision","400","300","494.625","N/A","496.75","N/A","274.2599111870156","N/A"
"960","color-agents-by-vision","400","300","498.03000000000003","N/A","515.25","N/A","280.08815381424824","N/A"
"970","color-agents-by-vision","400","300","490.54499999999996","N/A","487.75","N/A","269.0862072025317","N/A"
"980","color-agents-by-vision","400","300","499.115","N/A","503.25","N/A","281.05022845876954","N/A"
"990","color-agents-by-vision","400","300","499.4375","N/A","492.5","N/A","281.9810902245865","N/A"
"1000","color-agents-by-vision","400","300","517.145","N/A","528","N/A","285.9678012690671","N/A"
