"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2 Constant Growback_custom.nlogo"
"gini-by-max-endowment-1000"
"03/05/2024 23:32:16:149 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar","(mean) gini-index-reserve","(std) gini-index-reserve"
"510","20","color-agents-by-vision","400","500","727.9072523904023","N/A","698","N/A","432.1838866474054","N/A","40.195556108790186","N/A"
"520","20","color-agents-by-vision","400","500","680.6912459966447","N/A","621","N/A","419.159503356149","N/A","42.90921551683691","N/A"
"530","20","color-agents-by-vision","400","500","696.9785493516092","N/A","674.75","N/A","424.9773402744618","N/A","42.72162508441711","N/A"
"540","20","color-agents-by-vision","400","500","709.8441692466461","N/A","695","N/A","424.31328512482435","N/A","43.1240355324533","N/A"
"550","20","color-agents-by-vision","400","500","689.2963649469674","N/A","629.75","N/A","432.17250695587506","N/A","43.41597540913356","N/A"
"560","20","color-agents-by-vision","400","500","749.7189177745787","N/A","753","N/A","412.4559776805893","N/A","38.37394692880002","N/A"
"570","20","color-agents-by-vision","400","500","710.6598360655738","N/A","685","N/A","437.90650142646973","N/A","43.17263191445197","N/A"
"580","20","color-agents-by-vision","400","500","704.7414760255597","N/A","687.5","N/A","439.71998363510545","N/A","44.46327300306477","N/A"
"590","20","color-agents-by-vision","400","500","717.5062271608622","N/A","721","N/A","428.014125098829","N/A","44.41154697882547","N/A"
"600","20","color-agents-by-vision","400","500","681.6636839874031","N/A","607.75","N/A","448.40037468057204","N/A","48.39210299955006","N/A"
"610","20","color-agents-by-vision","400","500","726.5438729874777","N/A","729.75","N/A","431.4053470096116","N/A","44.22121249665854","N/A"
"620","20","color-agents-by-vision","400","500","725.3435114503817","N/A","690.5","N/A","436.9667350832815","N/A","45.33910929338807","N/A"
"630","20","color-agents-by-vision","400","500","712.4247943595769","N/A","688","N/A","433.5136659934107","N/A","44.727362440035336","N/A"
"640","20","color-agents-by-vision","400","500","721.6973234450345","N/A","696.25","N/A","454.76726633854673","N/A","46.30169992801994","N/A"
"650","20","color-agents-by-vision","400","500","692.4417335586537","N/A","631.5","N/A","454.9672140003131","N/A","50.252119970763914","N/A"
"660","20","color-agents-by-vision","400","500","722.9328789756298","N/A","694.5","N/A","463.15721627245335","N/A","48.751745620685654","N/A"
"670","20","color-agents-by-vision","400","500","715.927316522286","N/A","643.5","N/A","444.5023598294812","N/A","47.07405961115123","N/A"
"680","20","color-agents-by-vision","400","500","750.1444907723856","N/A","725.25","N/A","461.3137420461205","N/A","47.77730390964982","N/A"
"690","20","color-agents-by-vision","400","500","687.8115436559319","N/A","660","N/A","448.7985329566941","N/A","50.20517437256549","N/A"
"700","20","color-agents-by-vision","400","500","732.1671108742005","N/A","716","N/A","458.24744047293564","N/A","48.066992397394486","N/A"
"710","20","color-agents-by-vision","400","500","738.4102146630516","N/A","697.75","N/A","451.61220232993435","N/A","47.00006692892642","N/A"
"720","20","color-agents-by-vision","400","500","765.6920232995433","N/A","720.5","N/A","471.81785909148823","N/A","47.07762201715788","N/A"
"730","20","color-agents-by-vision","400","500","718.3097900058332","N/A","645.25","N/A","468.05323179580347","N/A","49.928156993136554","N/A"
"740","20","color-agents-by-vision","400","500","749.6402515723271","N/A","718","N/A","479.09413235334233","N/A","49.154693627303594","N/A"
"750","20","color-agents-by-vision","400","500","745.1607518363819","N/A","694","N/A","466.5484725150492","N/A","47.29018346256828","N/A"
"760","20","color-agents-by-vision","400","500","736.0548941798942","N/A","692.5","N/A","465.48792667029676","N/A","49.84298419238765","N/A"
"770","20","color-agents-by-vision","400","500","760.0566041333028","N/A","739","N/A","469.4605878482603","N/A","49.675654588919926","N/A"
"780","20","color-agents-by-vision","400","500","719.6656229075584","N/A","658","N/A","453.4725005332791","N/A","49.737179660470005","N/A"
"790","20","color-agents-by-vision","400","500","714.8052090453406","N/A","636.5","N/A","481.81420657801306","N/A","50.980797874872195","N/A"
"800","20","color-agents-by-vision","400","500","755.0957959934972","N/A","709.5","N/A","479.43927808931494","N/A","49.86536244939424","N/A"
"810","20","color-agents-by-vision","400","500","759.9802867383512","N/A","716","N/A","513.1999404929371","N/A","53.92831247908809","N/A"
"820","20","color-agents-by-vision","400","500","774.8207394659992","N/A","752.75","N/A","493.0954417570428","N/A","50.57939035341904","N/A"
"830","20","color-agents-by-vision","400","500","787.7363636363636","N/A","753","N/A","465.82141360846083","N/A","47.495364764351244","N/A"
"840","20","color-agents-by-vision","400","500","765.3303196732854","N/A","734.25","N/A","472.2798617586182","N/A","47.30518762209498","N/A"
"850","20","color-agents-by-vision","400","500","785.36613591166","N/A","748.75","N/A","481.0409536307992","N/A","48.67310127080811","N/A"
"860","20","color-agents-by-vision","400","500","755.9480117724003","N/A","696.25","N/A","477.3227234725766","N/A","49.98230331466466","N/A"
"870","20","color-agents-by-vision","400","500","758.0689392206208","N/A","744.25","N/A","483.2953964582965","N/A","51.19804488157119","N/A"
"880","20","color-agents-by-vision","400","500","780.5252886658645","N/A","734.5","N/A","491.24248406317474","N/A","50.35041477789898","N/A"
"890","20","color-agents-by-vision","400","500","771.7660548757879","N/A","734.25","N/A","499.644858780247","N/A","52.834167793745586","N/A"
"900","20","color-agents-by-vision","400","500","760.6748333054974","N/A","733.5","N/A","486.7520571540482","N/A","51.03312732285748","N/A"
"910","20","color-agents-by-vision","400","500","764.1088569173799","N/A","711","N/A","493.60363146262927","N/A","53.0429355488655","N/A"
"920","20","color-agents-by-vision","400","500","752.6126392623896","N/A","708.25","N/A","503.7854351823413","N/A","53.40280976954246","N/A"
"930","20","color-agents-by-vision","400","500","766.5914695925076","N/A","683","N/A","508.39475277829524","N/A","53.824857841001936","N/A"
"940","20","color-agents-by-vision","400","500","831.4362879559202","N/A","816.5","N/A","484.7268713031383","N/A","48.28887836619786","N/A"
"950","20","color-agents-by-vision","400","500","807.1824682814301","N/A","765.5","N/A","494.774646023478","N/A","50.33486857654532","N/A"
"960","20","color-agents-by-vision","400","500","797.6353634333913","N/A","736.5","N/A","517.5714989969541","N/A","52.55801991868867","N/A"
"970","20","color-agents-by-vision","400","500","810.2013645224172","N/A","779.5","N/A","518.3296661692009","N/A","50.91837161332245","N/A"
"980","20","color-agents-by-vision","400","500","825.7358745289553","N/A","830.5","N/A","493.77455821631986","N/A","50.20522509080815","N/A"
"990","20","color-agents-by-vision","400","500","848.6624608763693","N/A","804.5","N/A","518.0284057541666","N/A","50.068976761619965","N/A"
"1000","20","color-agents-by-vision","400","500","772.4211922056959","N/A","722","N/A","509.29548801663293","N/A","55.50535880234693","N/A"
