"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2 Constant Growback_custom.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/05/2024 23:28:38:089 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"670","20","color-agents-by-vision","400","500","698.4894176977981","N/A","663.25","N/A","441.4233540207927","N/A"
"680","20","color-agents-by-vision","400","500","739.0348192648703","N/A","694.5","N/A","457.20372692935337","N/A"
"690","20","color-agents-by-vision","400","500","707.7343675931911","N/A","660.5","N/A","461.04206476407126","N/A"
"700","20","color-agents-by-vision","400","500","742.5701376996226","N/A","707.5","N/A","461.36515368171814","N/A"
"710","20","color-agents-by-vision","400","500","707.6680929596719","N/A","640.5","N/A","459.4722555277548","N/A"
"720","20","color-agents-by-vision","400","500","740.0661711530736","N/A","701.75","N/A","467.55323044223337","N/A"
"730","20","color-agents-by-vision","400","500","708.052065278422","N/A","665.75","N/A","463.7839653943565","N/A"
"740","20","color-agents-by-vision","400","500","735.8812208660038","N/A","683.75","N/A","466.19930714732607","N/A"
"750","20","color-agents-by-vision","400","500","751.1816878600441","N/A","718.25","N/A","467.65642144310806","N/A"
"760","20","color-agents-by-vision","400","500","725.2272581934453","N/A","734.25","N/A","466.79941568482093","N/A"
"770","20","color-agents-by-vision","400","500","694.6392965199195","N/A","623","N/A","469.8608974796981","N/A"
"780","20","color-agents-by-vision","400","500","735.3155017625027","N/A","695","N/A","474.0217569485061","N/A"
"790","20","color-agents-by-vision","400","500","764.4914927521332","N/A","749.25","N/A","463.34547271867837","N/A"
"800","20","color-agents-by-vision","400","500","741.8812952934097","N/A","718.5","N/A","454.24142106289776","N/A"
"810","20","color-agents-by-vision","400","500","728.295416892993","N/A","677.25","N/A","480.34507311718517","N/A"
"820","20","color-agents-by-vision","400","500","772.5309543341536","N/A","717.75","N/A","480.2508265809227","N/A"
"830","20","color-agents-by-vision","400","500","742.6608380369518","N/A","688.5","N/A","478.4038228515627","N/A"
"840","20","color-agents-by-vision","400","500","751.8989474743156","N/A","712","N/A","466.2694968437519","N/A"
"850","20","color-agents-by-vision","400","500","772.8445110578205","N/A","729.25","N/A","485.14596171255937","N/A"
"860","20","color-agents-by-vision","400","500","804.4905753968253","N/A","791","N/A","502.81386190104024","N/A"
"870","20","color-agents-by-vision","400","500","776.2388009363965","N/A","754.5","N/A","485.1651830025875","N/A"
"880","20","color-agents-by-vision","400","500","752.2553345079039","N/A","682.75","N/A","488.5313357793357","N/A"
"890","20","color-agents-by-vision","400","500","784.3030844155844","N/A","753.25","N/A","480.1903564476237","N/A"
"900","20","color-agents-by-vision","400","500","802.51850787378","N/A","759.5","N/A","505.7477828682612","N/A"
"910","20","color-agents-by-vision","400","500","783.5668799276973","N/A","742.5","N/A","497.6824308175828","N/A"
"920","20","color-agents-by-vision","400","500","790.7106095530798","N/A","742.75","N/A","493.5332067801703","N/A"
"930","20","color-agents-by-vision","400","500","784.0793728135932","N/A","727","N/A","510.8920677676151","N/A"
"940","20","color-agents-by-vision","400","500","791.6917319895483","N/A","757","N/A","495.7948972701214","N/A"
"950","20","color-agents-by-vision","400","500","820.4284890426759","N/A","785","N/A","506.2080630938501","N/A"
"960","20","color-agents-by-vision","400","500","812.5704566647036","N/A","778","N/A","507.98971177021633","N/A"
"970","20","color-agents-by-vision","400","500","777.3506944444445","N/A","744.5","N/A","511.34950222819407","N/A"
"980","20","color-agents-by-vision","400","500","788.6644104912159","N/A","747.75","N/A","502.0865913064703","N/A"
"990","20","color-agents-by-vision","400","500","829.3649252704934","N/A","822.5","N/A","505.75673819601485","N/A"
"1000","20","color-agents-by-vision","400","500","838.0908529931407","N/A","833.75","N/A","498.97531274507503","N/A"
