"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2-change.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/06/2024 00:19:36:765 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"680","20","color-agents-by-vision","400","500","724.5370432263815","N/A","669","N/A","458.92501608548866","N/A"
"690","20","color-agents-by-vision","400","500","728.0883389673803","N/A","695.25","N/A","446.83758302963366","N/A"
"700","20","color-agents-by-vision","400","500","707.9423462566845","N/A","669.25","N/A","455.83302183324713","N/A"
"710","20","color-agents-by-vision","400","500","727.4634188180805","N/A","682","N/A","460.8216188727266","N/A"
"720","20","color-agents-by-vision","400","500","713.9524605828954","N/A","638.25","N/A","461.77330201463224","N/A"
"730","20","color-agents-by-vision","400","500","725.8722258367671","N/A","685","N/A","463.50309915572456","N/A"
"740","20","color-agents-by-vision","400","500","738.9260780885782","N/A","695.5","N/A","466.06106964491283","N/A"
"750","20","color-agents-by-vision","400","500","772.555133385064","N/A","708.5","N/A","486.4994321334185","N/A"
"760","20","color-agents-by-vision","400","500","722.3093428821343","N/A","684.5","N/A","469.344994773734","N/A"
"770","20","color-agents-by-vision","400","500","710.0797846856241","N/A","637.75","N/A","466.1229788635395","N/A"
"780","20","color-agents-by-vision","400","500","760.7166660054747","N/A","715","N/A","485.4283624785227","N/A"
"790","20","color-agents-by-vision","400","500","740.3491391811015","N/A","657","N/A","481.1313988266859","N/A"
"800","20","color-agents-by-vision","400","500","758.815970341715","N/A","708.75","N/A","459.5080993484528","N/A"
"810","20","color-agents-by-vision","400","500","770.7056728896878","N/A","737","N/A","475.48626247067165","N/A"
"820","20","color-agents-by-vision","400","500","761.3104706640877","N/A","720.25","N/A","484.33405265458913","N/A"
"830","20","color-agents-by-vision","400","500","725.1628836940256","N/A","675","N/A","487.77811718371197","N/A"
"840","20","color-agents-by-vision","400","500","723.7251243318327","N/A","670","N/A","467.2311314466415","N/A"
"850","20","color-agents-by-vision","400","500","808.7712900810488","N/A","743.5","N/A","486.651300774652","N/A"
"860","20","color-agents-by-vision","400","500","751.5993929294132","N/A","707.5","N/A","482.5192473127768","N/A"
"870","20","color-agents-by-vision","400","500","775.2336805555556","N/A","754.5","N/A","485.8251274812923","N/A"
"880","20","color-agents-by-vision","400","500","801.9554321039222","N/A","753.5","N/A","505.58787654384696","N/A"
"890","20","color-agents-by-vision","400","500","782.1146426786606","N/A","735","N/A","484.7591866852134","N/A"
"900","20","color-agents-by-vision","400","500","797.7723409801877","N/A","766.25","N/A","504.6173744646841","N/A"
"910","20","color-agents-by-vision","400","500","774.4153824969767","N/A","760.5","N/A","475.83465980676567","N/A"
"920","20","color-agents-by-vision","400","500","777.9592909746935","N/A","750","N/A","484.60325422116875","N/A"
"930","20","color-agents-by-vision","400","500","792.4762068923062","N/A","743","N/A","501.2674367841387","N/A"
"940","20","color-agents-by-vision","400","500","795.122982769298","N/A","756.5","N/A","496.48872300441667","N/A"
"950","20","color-agents-by-vision","400","500","781.1807876334192","N/A","742.5","N/A","515.602701215662","N/A"
"960","20","color-agents-by-vision","400","500","812.6331182476699","N/A","795","N/A","499.9374200234652","N/A"
"970","20","color-agents-by-vision","400","500","794.464697371594","N/A","759.5","N/A","509.2921276160208","N/A"
"980","20","color-agents-by-vision","400","500","796.7477301501176","N/A","735","N/A","508.4712917224376","N/A"
"990","20","color-agents-by-vision","400","500","798.5618614744003","N/A","759","N/A","490.07267713577744","N/A"
"1000","20","color-agents-by-vision","400","500","781.0155709342561","N/A","705.5","N/A","512.4881448561372","N/A"
