"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3-change.nlogo"
"gini-by-max-endowment-1000"
"03/06/2024 00:13:56:063 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar","gini-index-reserve"
"70","390","color-agents-by-vision","400","300","214.69","208.5","113.334353084016","60.273615445526154"
"71","400","color-agents-by-vision","400","300","207.3425","211","113.70431774314282","62.88883731024754"
"72","400","color-agents-by-vision","400","300","222.89","224.5","120.65355818523092","62.16231100542876"
"73","410","color-agents-by-vision","400","300","214.2975","209.5","117.89634372366486","63.20865269076873"
"74","410","color-agents-by-vision","400","300","214.995","209.5","120.12977516921234","64.12672387729948"
"75","420","color-agents-by-vision","400","300","220.325","217","120.26709779499167","62.6365482809486"
"76","420","color-agents-by-vision","400","300","222.7475","218","125.0034535613142","64.1634642364112"
"77","430","color-agents-by-vision","400","300","221.6375","221.5","131.5866395307955","68.02174158253911"
"78","430","color-agents-by-vision","400","300","225.95","226","122.69246555007736","62.216364239876036"
"79","440","color-agents-by-vision","400","300","233.68","235","130.05135904701243","63.82457848339614"
"80","440","color-agents-by-vision","400","300","235.3775","229","128.29289794414672","62.54415247846541"
"81","450","color-agents-by-vision","400","300","228.1775","216.5","130.67296795870922","65.65513142180978"
"82","450","color-agents-by-vision","400","300","235.8","226.5","132.59142587489907","64.62340966921117"
"83","460","color-agents-by-vision","400","300","241.1025","234","143.55991996480344","68.41679887184907"
"84","460","color-agents-by-vision","400","300","248.5625","251.5","132.48583825108528","61.19124465677644"
"85","470","color-agents-by-vision","400","300","241.7225","240.5","135.21143006714337","64.08173111729353"
"86","470","color-agents-by-vision","400","300","249.285","257.5","139.47725095453598","64.25429729025015"
"87","480","color-agents-by-vision","400","300","248.055","248.5","135.75324797528634","62.81284392574227"
"88","480","color-agents-by-vision","400","300","264.25","264.5","139.2218708512002","60.5908230842006"
"89","490","color-agents-by-vision","400","300","259.27","252.5","147.89118163031233","65.68117213715428"
"90","490","color-agents-by-vision","400","300","259.4275","259.5","142.15382167318168","62.96907132050379"
"91","500","color-agents-by-vision","400","300","272.8025","275.5","148.73154060816825","62.6661641663841"
"92","500","color-agents-by-vision","400","300","267.8925","277","141.9427536263037","60.8867222859916"
"93","510","color-agents-by-vision","400","300","264.965","254","150.51295342218782","65.2202366350273"
"94","510","color-agents-by-vision","400","300","260.9525","252","154.55715781330974","68.11042718502405"
"95","520","color-agents-by-vision","400","300","267.5675","260","151.63328155103304","65.23266558905696"
"96","520","color-agents-by-vision","400","300","257.335","246","146.35104833369294","65.21667281947659"
"97","530","color-agents-by-vision","400","300","268.9575","269","149.7251305912819","63.81254008532946"
"98","530","color-agents-by-vision","400","300","275.9975","266","153.51638575568643","64.06935298326978"
"99","540","color-agents-by-vision","400","300","271.545","260","158.28853757559182","66.99675007825596"
"100","540","color-agents-by-vision","400","300","281.03","270.5","162.37392749708027","66.35517560402806"
"101","550","color-agents-by-vision","400","300","300.48","297","153.22530661240705","58.57958100372733"
"102","550","color-agents-by-vision","400","300","285.6775","284.5","155.5675307875598","62.68519134338548"
"103","560","color-agents-by-vision","400","300","292.275","282.5","160.49494054283966","63.12460867333843"
"104","560","color-agents-by-vision","400","300","283.905","276.5","163.18218972242815","66.11069724027412"
"105","570","color-agents-by-vision","400","300","289.2725","279.5","161.8212703961738","64.21440423821828"
"106","570","color-agents-by-vision","400","300","282.295","274","161.8276039757164","65.88934448006519"
"107","580","color-agents-by-vision","400","300","305.9625","314.5","175.80092721249207","66.09396984924624"
"108","580","color-agents-by-vision","400","300","297.1225","309.5","172.90101038522175","66.98758508695906"
"109","590","color-agents-by-vision","400","300","320.1275","317.5","175.22731743563625","62.99685672115016"
"110","590","color-agents-by-vision","400","300","291.045","291","168.4840501736212","66.3280420553523"
"111","600","color-agents-by-vision","400","300","296.21","282.5","167.9152904351023","64.9639444988353"
"112","600","color-agents-by-vision","400","300","301.0025","292","171.91923409374073","65.63211684288339"
"113","610","color-agents-by-vision","400","300","316.835","313","176.75468401375397","64.1760774535642"
"114","610","color-agents-by-vision","400","300","321.6975","313","169.39797868246322","60.52668656113272"
"115","620","color-agents-by-vision","400","300","317.6225","318.5","170.93684068247623","61.92378924666861"
"116","620","color-agents-by-vision","400","300","315.7675","298","175.66366371741927","63.96634786670576"
"117","630","color-agents-by-vision","400","300","313.6125","299","180.44961208049176","66.09458726932125"
"118","630","color-agents-by-vision","400","300","318.285","324","173.2584630329247","62.653580910190506"
"119","640","color-agents-by-vision","400","300","336.3225","340","185.96947358778078","63.58769856313508"
"120","640","color-agents-by-vision","400","300","337.69","343.5","183.44037130512302","62.60368977464531"
"121","650","color-agents-by-vision","400","300","331.1525","337","180.29766321878773","62.549478714489595"
"122","650","color-agents-by-vision","400","300","336.1425","334.5","186.1530542127414","63.75475058940779"
"123","660","color-agents-by-vision","400","300","350.075","359","181.14868614270443","59.53517817610513"
"124","660","color-agents-by-vision","400","300","336.1075","333","197.50943239111052","67.62033352424449"
"125","670","color-agents-by-vision","400","300","339.1975","323.5","193.27431514815916","65.61380537887227"
"126","670","color-agents-by-vision","400","300","361.615","371.5","196.21159305229725","62.31559808083184"
"127","680","color-agents-by-vision","400","300","353.495","347","192.9441982389862","62.75275463585053"
"128","680","color-agents-by-vision","400","300","346.1825","335","186.0614450849981","61.757746997609644"
"129","690","color-agents-by-vision","400","300","342.1075","328","197.52028148457154","66.4190897597977"
"130","690","color-agents-by-vision","400","300","347.895","352","199.61438759351952","65.98072694347428"
"131","700","color-agents-by-vision","400","300","361.9275","359","202.95945060584287","64.584215761444"
"132","700","color-agents-by-vision","400","300","366.3225","368.5","208.51587630304326","65.57146708160154"
"133","710","color-agents-by-vision","400","300","343.6375","327","202.78721045855886","67.68771234222115"
"134","710","color-agents-by-vision","400","300","370.1175","371","198.47853287896018","61.76142373705644"
"135","720","color-agents-by-vision","400","300","362.4325","364","205.37833648291925","65.29076103826233"
"136","720","color-agents-by-vision","400","300","365.07","364.5","199.52330433418314","62.69988632317089"
"137","730","color-agents-by-vision","400","300","347.84","329.5","205.96210907819872","68.0030042548298"
"138","730","color-agents-by-vision","400","300","380.04","374.5","213.03836923642947","64.52694453215457"
"139","740","color-agents-by-vision","400","300","381.1225","384.5","212.45504314358567","64.18553417864332"
"140","740","color-agents-by-vision","400","300","385.2825","394.5","205.00572201501416","61.08133317760346"
"141","750","color-agents-by-vision","400","300","400.29","394.5","214.7864262990232","61.81607084863471"
"142","750","color-agents-by-vision","400","300","408.0625","412","214.94409973007384","60.61960177668861"
"143","760","color-agents-by-vision","400","300","391.605","392","219.8147750113336","64.583259917519"
"144","760","color-agents-by-vision","400","300","377.34","387","218.554442899883","66.66273784915462"
"145","770","color-agents-by-vision","400","300","398.2825","398","222.85144066230112","64.41340317488212"
"146","770","color-agents-by-vision","400","300","383.52","366","219.47096244924055","65.85705439090529"
"147","780","color-agents-by-vision","400","300","393.42","383","212.48919441788297","62.05339077830313"
"148","780","color-agents-by-vision","400","300","405.8975","381.5","228.1350279356021","64.70167037244627"
"149","790","color-agents-by-vision","400","300","401.8375","405","223.83006016470034","64.16357047313902"
"150","790","color-agents-by-vision","400","300","403.31","381","229.13629678919412","65.32664079740152"
"151","800","color-agents-by-vision","400","300","400.995","383","238.13884658036483","68.36040973079461"
"152","800","color-agents-by-vision","400","300","422.765","445.5","233.1078676705804","63.516599056213266"
"153","810","color-agents-by-vision","400","300","418.81","434","225.85284516510504","62.009741887729554"
"154","810","color-agents-by-vision","400","300","398.1275","380","232.61142799707213","67.20199873156218"
"155","820","color-agents-by-vision","400","300","431.865","434.5","234.9244677313266","62.6116031630255"
