"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/06/2024 00:18:41:687 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar"
"75","470","20","color-agents-by-vision","400","500","680.802371541502","636","418.73964388320456"
"77","480","20","color-agents-by-vision","400","500","695.6131687242798","713","431.88384016551964"
"78","480","20","color-agents-by-vision","400","500","640.8260869565217","637","390.1665819848267"
"80","490","20","color-agents-by-vision","400","500","700.8951612903226","707.5","425.6134095507891"
"79","490","20","color-agents-by-vision","400","500","666.7945736434109","631.5","405.50569913713525"
"81","500","20","color-agents-by-vision","400","500","728.8174273858921","777","433.6617151594323"
"82","500","20","color-agents-by-vision","400","500","692.8801652892562","680.5","419.4224616632858"
"83","510","20","color-agents-by-vision","400","500","678.9573643410853","677","421.74427741133974"
"84","510","20","color-agents-by-vision","400","500","721.7153846153847","723.5","421.7398003767953"
"85","520","20","color-agents-by-vision","400","500","715.4487179487179","724.5","426.8883616644164"
"86","520","20","color-agents-by-vision","400","500","752.7510040160643","795","438.2893090142232"
"87","530","20","color-agents-by-vision","400","500","623.9433198380567","556","418.8202129291752"
"88","530","20","color-agents-by-vision","400","500","723.8503937007874","707","426.2865127683771"
"89","540","20","color-agents-by-vision","400","500","765.5381526104418","799","432.86891727932306"
"90","540","20","color-agents-by-vision","400","500","719.15234375","692","438.32515935982804"
"91","550","20","color-agents-by-vision","400","500","730.436507936508","723.5","437.31231823695623"
"92","550","20","color-agents-by-vision","400","500","679.3873517786561","648","441.5749142770145"
"93","560","20","color-agents-by-vision","400","500","753.9705882352941","735.5","445.67624999140753"
"94","560","20","color-agents-by-vision","400","500","745.7716535433071","745.5","441.363557114805"
"95","570","20","color-agents-by-vision","400","500","705.6156862745098","674","432.16842160766635"
"96","570","20","color-agents-by-vision","400","500","731.6502057613169","729","451.96875699950385"
"97","580","20","color-agents-by-vision","400","500","702.719696969697","695.5","419.2993851216645"
"98","580","20","color-agents-by-vision","400","500","713.9370078740158","643.5","444.1145073300933"
"99","590","20","color-agents-by-vision","400","500","754.5850622406639","756","438.0358456899012"
"100","590","20","color-agents-by-vision","400","500","732.8622047244095","711","446.41702342431455"
"101","600","20","color-agents-by-vision","400","500","704.7348484848485","691","439.042864253239"
"102","600","20","color-agents-by-vision","400","500","699.8015873015873","616.5","437.4427228499325"
"103","610","20","color-agents-by-vision","400","500","734.128","715","460.00294177512296"
"104","610","20","color-agents-by-vision","400","500","705.16796875","626","439.8598697417067"
"105","620","20","color-agents-by-vision","400","500","692.433962264151","655","447.99511755971963"
"106","620","20","color-agents-by-vision","400","500","723.6218487394958","647.5","461.17381863827825"
"107","630","20","color-agents-by-vision","400","500","708.498023715415","661","439.53262176011094"
"108","630","20","color-agents-by-vision","400","500","694.8376383763838","666","447.712345051417"
"109","640","20","color-agents-by-vision","400","500","701.1026615969582","679","435.0768828615494"
"110","640","20","color-agents-by-vision","400","500","736.4351145038167","718.5","460.8645897693199"
"111","650","20","color-agents-by-vision","400","500","682.8576923076923","597.5","463.2218117185296"
"112","650","20","color-agents-by-vision","400","500","739.804081632653","726","457.7282132405504"
"113","660","20","color-agents-by-vision","400","500","705.3646209386281","640","453.7152836293477"
"114","660","20","color-agents-by-vision","400","500","737.3420074349442","698","435.52908523656595"
"115","670","20","color-agents-by-vision","400","500","710.6395348837209","706","447.5104393136818"
"116","670","20","color-agents-by-vision","400","500","788.5313653136532","770","454.12586558172524"
"117","680","20","color-agents-by-vision","400","500","766.0189393939394","725.5","447.0660030093761"
"118","680","20","color-agents-by-vision","400","500","683.0551470588235","612.5","470.78402916160127"
"119","690","20","color-agents-by-vision","400","500","741.1726618705036","741.5","450.4690363962141"
"120","690","20","color-agents-by-vision","400","500","715.004016064257","649","443.2061296630532"
"121","700","20","color-agents-by-vision","400","500","721.4301470588235","701.5","459.6829995194633"
"122","700","20","color-agents-by-vision","400","500","694.4545454545455","637","451.98304414703097"
"123","710","20","color-agents-by-vision","400","500","746.8931297709923","720","451.11197226797276"
"124","710","20","color-agents-by-vision","400","500","708.0337078651686","644","470.5312654774804"
"125","720","20","color-agents-by-vision","400","500","729.919413919414","648","474.6689412381284"
"126","720","20","color-agents-by-vision","400","500","697.9855072463768","628.5","448.877662791136"
"127","730","20","color-agents-by-vision","400","500","709.8199233716475","671","465.81618418394015"
"128","730","20","color-agents-by-vision","400","500","741.9245283018868","699","461.19001412750896"
"129","740","20","color-agents-by-vision","400","500","743.1098484848485","701.5","441.32674933035895"
"130","740","20","color-agents-by-vision","400","500","734.7423076923077","689.5","490.7953899594667"
