"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"exp3-2"
"03/07/2024 02:05:54:520 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","gini-index","survival-ratio","mean-sugar","median-sugar","sd-sugar"
"1","20","0","color-agents-by-vision","0","0","0","1","0","0","0"
"2","20","0","color-agents-by-vision","20","1000","0.3259769169435695","0.65","1641.7692307692307","1844","996.6219739572066"
"3","20","0","color-agents-by-vision","40","1000","0.42688428110970417","0.7","1419.642857142857","1021","1098.6323219512424"
"4","20","0","color-agents-by-vision","60","1000","0.31379018246590445","0.7666666666666667","1684.3695652173913","1945.5","953.6121820319864"
"5","20","0","color-agents-by-vision","80","1000","0.3406744279044529","0.55","1608.4318181818182","1173","992.576243869604"
"6","20","0","color-agents-by-vision","100","1000","0.35594649581092286","0.66","1521.4848484848485","1248.5","960.1545747738785"
"7","20","0","color-agents-by-vision","120","1000","0.29756496103422936","0.575","1666.536231884058","1841","872.2157312019663"
"8","20","0","color-agents-by-vision","140","1000","0.3223071959876089","0.6","1676.2619047619048","1703","952.5170348417914"
"9","20","0","color-agents-by-vision","160","1000","0.28089402335145847","0.6","1710.4479166666667","1739","847.6398300394446"
"10","20","0","color-agents-by-vision","180","1000","0.3741427470953667","0.5611111111111111","1340.2970297029703","1395","878.5479900899489"
"11","20","0","color-agents-by-vision","200","1000","0.3479430301808555","0.56","1399.6607142857142","1485","851.3626126760255"
"12","20","0","color-agents-by-vision","220","1000","0.3590968578083889","0.5590909090909091","1413.1463414634147","1495","889.3257778026983"
"13","20","0","color-agents-by-vision","240","1000","0.36555071142721474","0.5875","1280.7659574468084","1275","817.6808549471561"
"14","20","0","color-agents-by-vision","260","1000","0.30869424864915757","0.6","1447.25","1436.5","786.6620098504411"
"15","20","0","color-agents-by-vision","280","1000","0.376100061677851","0.5678571428571428","1270.3836477987422","1236","835.4322219381007"
"16","20","0","color-agents-by-vision","300","1000","0.37139408124647466","0.6266666666666667","1226.6436170212767","1216.5","797.8941773827439"
"17","20","0","color-agents-by-vision","320","1000","0.4016381599742583","0.603125","1162.2435233160622","1207","820.3129152519715"
"18","20","0","color-agents-by-vision","340","1000","0.4156407779133138","0.6","1140.0049019607843","1100","838.7223540409368"
"19","20","0","color-agents-by-vision","360","1000","0.396585942046551","0.5638888888888889","1147.1576354679803","1160","801.1620982680794"
"20","20","0","color-agents-by-vision","380","1000","0.37945631534559476","0.5684210526315789","1179.9583333333333","1179.5","786.8533169796387"
"21","20","0","color-agents-by-vision","400","1000","0.3794818427401426","0.5575","1114.9013452914799","1115","746.0522100585972"
"22","20","0","color-agents-by-vision","420","1000","0.3948564310484008","0.569047619047619","1096.3514644351465","1087","766.0693807494176"
"23","20","0","color-agents-by-vision","440","1000","0.39674753124207746","0.5454545454545454","1124.1875","1077","787.1842159248719"
"24","20","0","color-agents-by-vision","460","1000","0.3555343925545828","0.5304347826086957","1238.233606557377","1174.5","781.125672074456"
"25","20","0","color-agents-by-vision","480","1000","0.3394538111877959","0.5395833333333333","1203.4633204633205","1082","728.3670341524901"
