"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 3-change.nlogo"
"exp2-3"
"03/07/2024 02:04:08:644 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio","(mean) death-ratio","(std) death-ratio","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"45","5","color-agents-by-vision","500","1000","0.4318355265265962","N/A","1","N/A","0.5647363458447057","N/A","46.504999999999995","N/A","35","N/A","37.75675690303816","N/A"
"45","10","color-agents-by-vision","500","1000","0.3999181998353025","N/A","1","N/A","0.5518116943999067","N/A","48.174","N/A","38.5","N/A","35.67525926625782","N/A"
"45","15","color-agents-by-vision","500","1000","0.4174363260033287","N/A","1","N/A","0.5546674823288336","N/A","48.616","N/A","37.5","N/A","38.07294847897252","N/A"
"45","20","color-agents-by-vision","500","1000","0.3945846155803895","N/A","1","N/A","0.545694473232195","N/A","49.658","N/A","40.5","N/A","36.54862604741703","N/A"
"45","25","color-agents-by-vision","500","1000","0.38886583308003575","N/A","1","N/A","0.5390723320002198","N/A","48.929","N/A","39","N/A","36.023946323295625","N/A"
"45","30","color-agents-by-vision","500","1000","0.3902633473548974","N/A","1","N/A","0.5256561642250133","N/A","50.260000000000005","N/A","41","N/A","36.93419463680325","N/A"
"50","0","color-agents-by-vision","500","1000","0.4300778850867223","N/A","1","N/A","0.5587536185849608","N/A","46.179","N/A","36.5","N/A","36.96785410027575","N/A"
"50","5","color-agents-by-vision","500","1000","0.4071280732981468","N/A","1","N/A","0.5526042296286802","N/A","46.711","N/A","37","N/A","35.65129398764946","N/A"
"50","10","color-agents-by-vision","500","1000","0.40313103038184894","N/A","1","N/A","0.5485748229209173","N/A","50.131","N/A","41.5","N/A","37.478166456109804","N/A"
"50","15","color-agents-by-vision","500","1000","0.40319282723789973","N/A","1","N/A","0.5424986807090277","N/A","50.789","N/A","41.25","N/A","37.59793539405379","N/A"
"50","20","color-agents-by-vision","500","1000","0.3882015104765887","N/A","1","N/A","0.5365910578341735","N/A","48.324","N/A","40","N/A","34.935848298554816","N/A"
"50","25","color-agents-by-vision","500","1000","0.3977169632084109","N/A","1","N/A","0.5296731321172723","N/A","51.838","N/A","42","N/A","38.04957914464356","N/A"
"50","30","color-agents-by-vision","500","1000","0.3918055233850154","N/A","1","N/A","0.5110933956082974","N/A","52.848","N/A","44","N/A","38.782912945859714","N/A"
