"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 3-change.nlogo"
"gini-by-max-endowment-1000"
"03/06/2024 00:14:44:420 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","visualization","initial-population","[step]","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar","(mean) gini-index-reserve","(std) gini-index-reserve"
"550","color-agents-by-vision","400","300","293.07875","N/A","290.75","N/A","154.39641869998343","N/A","60.632386173556405","N/A"
"560","color-agents-by-vision","400","300","288.09","N/A","279.5","N/A","161.8385651326339","N/A","64.61765295680627","N/A"
"570","color-agents-by-vision","400","300","285.78375","N/A","276.75","N/A","161.8244371859451","N/A","65.05187435914173","N/A"
"580","color-agents-by-vision","400","300","301.5425","N/A","312","N/A","174.3509687988569","N/A","66.54077746810265","N/A"
"590","color-agents-by-vision","400","300","305.58625","N/A","304.25","N/A","171.8556838046287","N/A","64.66244938825123","N/A"
"600","color-agents-by-vision","400","300","298.60625","N/A","287.25","N/A","169.9172622644215","N/A","65.29803067085935","N/A"
"610","color-agents-by-vision","400","300","319.26625","N/A","313","N/A","173.0763313481086","N/A","62.35138200734846","N/A"
"620","color-agents-by-vision","400","300","316.695","N/A","308.25","N/A","173.30025219994775","N/A","62.94506855668719","N/A"
"630","color-agents-by-vision","400","300","315.94875","N/A","311.5","N/A","176.85403755670825","N/A","64.37408408975588","N/A"
"640","color-agents-by-vision","400","300","337.00625","N/A","341.75","N/A","184.70492244645192","N/A","63.09569416889019","N/A"
"650","color-agents-by-vision","400","300","333.6475","N/A","335.75","N/A","183.22535871576457","N/A","63.15211465194869","N/A"
"660","color-agents-by-vision","400","300","343.09125","N/A","346","N/A","189.32905926690748","N/A","63.57775585017481","N/A"
"670","color-agents-by-vision","400","300","350.40625","N/A","347.5","N/A","194.7429541002282","N/A","63.96470172985205","N/A"
"680","color-agents-by-vision","400","300","349.83875","N/A","341","N/A","189.50282166199213","N/A","62.25525081673008","N/A"
"690","color-agents-by-vision","400","300","345.00125","N/A","340","N/A","198.56733453904553","N/A","66.199908351636","N/A"
"700","color-agents-by-vision","400","300","364.125","N/A","363.75","N/A","205.73766345444307","N/A","65.07784142152278","N/A"
"710","color-agents-by-vision","400","300","356.8775","N/A","349","N/A","200.63287166875952","N/A","64.7245680396388","N/A"
"720","color-agents-by-vision","400","300","363.75125","N/A","364.25","N/A","202.45082040855118","N/A","63.99532368071661","N/A"
"730","color-agents-by-vision","400","300","363.94","N/A","352","N/A","209.5002391573141","N/A","66.2649743934922","N/A"
"740","color-agents-by-vision","400","300","383.2025","N/A","389.5","N/A","208.7303825792999","N/A","62.633433678123396","N/A"
"750","color-agents-by-vision","400","300","404.17625","N/A","403.25","N/A","214.86526301454853","N/A","61.21783631266166","N/A"
"760","color-agents-by-vision","400","300","384.47249999999997","N/A","389.5","N/A","219.18460895560833","N/A","65.6229988833368","N/A"
"770","color-agents-by-vision","400","300","390.90125","N/A","382","N/A","221.16120155577084","N/A","65.1352287828937","N/A"
"780","color-agents-by-vision","400","300","399.65875","N/A","382.25","N/A","220.31211117674252","N/A","63.377530575374706","N/A"
"790","color-agents-by-vision","400","300","402.57375","N/A","393","N/A","226.48317847694722","N/A","64.74510563527028","N/A"
"800","color-agents-by-vision","400","300","411.88","N/A","414.25","N/A","235.6233571254726","N/A","65.93850439350393","N/A"
"810","color-agents-by-vision","400","300","408.46875","N/A","407","N/A","229.23213658108858","N/A","64.60587030964587","N/A"
"820","color-agents-by-vision","400","300","420.2875","N/A","410.5","N/A","240.5130220230961","N/A","65.95978606929134","N/A"
"830","color-agents-by-vision","400","300","425.545","N/A","419.25","N/A","236.9228753494428","N/A","64.12927555596067","N/A"
"840","color-agents-by-vision","400","300","425.49","N/A","415.25","N/A","245.8458846318007","N/A","66.54916017894999","N/A"
"850","color-agents-by-vision","400","300","440.47249999999997","N/A","439.5","N/A","240.38516497847027","N/A","63.06970951983777","N/A"
"860","color-agents-by-vision","400","300","452.84749999999997","N/A","451.5","N/A","247.9355588865807","N/A","63.20093299286911","N/A"
"870","color-agents-by-vision","400","300","440.1225","N/A","437.5","N/A","247.41625225826456","N/A","64.65099563383566","N/A"
"880","color-agents-by-vision","400","300","446.26250000000005","N/A","437.75","N/A","256.6421424402937","N/A","66.18731797754602","N/A"
"890","color-agents-by-vision","400","300","457.87874999999997","N/A","458.75","N/A","254.6823428602549","N/A","64.1498054182086","N/A"
"900","color-agents-by-vision","400","300","453.405","N/A","444","N/A","257.1118461778115","N/A","65.34980178320453","N/A"
"910","color-agents-by-vision","400","300","448.3925","N/A","433.25","N/A","259.1834589373374","N/A","66.51760280106764","N/A"
"920","color-agents-by-vision","400","300","466.7975","N/A","470.5","N/A","262.7128275553165","N/A","64.8111762701417","N/A"
"930","color-agents-by-vision","400","300","472.825","N/A","464.5","N/A","262.82376716732324","N/A","64.01101709780818","N/A"
"940","color-agents-by-vision","400","300","485.88625","N/A","487.75","N/A","261.58119638446976","N/A","61.977198877678845","N/A"
"950","color-agents-by-vision","400","300","481.365","N/A","472.75","N/A","265.16863596693133","N/A","63.529016416944266","N/A"
"960","color-agents-by-vision","400","300","487.4075","N/A","482.5","N/A","267.51053550557236","N/A","63.286787372951835","N/A"
"970","color-agents-by-vision","400","300","499.705","N/A","493","N/A","275.44001714241597","N/A","63.51199791652634","N/A"
"980","color-agents-by-vision","400","300","483.81875","N/A","475","N/A","274.4999486714681","N/A","65.30837948019692","N/A"
"990","color-agents-by-vision","400","300","506.8325","N/A","507","N/A","290.0565698879358","N/A","65.92878344950694","N/A"
"1000","color-agents-by-vision","400","300","507.27","N/A","512","N/A","285.95654757737","N/A","64.92428319765116","N/A"
