"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2-change.nlogo"
"exp1-2"
"03/07/2024 00:46:30:555 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"25","5","color-agents-by-vision","740","1000","0.3107643485224352","N/A","0.4439189189189189","N/A","1113.637898573575","N/A","934","N/A","612.5653122063806","N/A"
"25","5","color-agents-by-vision","760","1000","0.30749989971586383","N/A","0.4342105263157895","N/A","1141.840450182059","N/A","961.75","N/A","621.4940680200862","N/A"
"25","5","color-agents-by-vision","780","1000","0.3318808113163875","N/A","0.433974358974359","N/A","1090.2722868217056","N/A","948.5","N/A","637.3393084599086","N/A"
"25","5","color-agents-by-vision","800","1000","0.3125044296509155","N/A","0.41875","N/A","1111.9758779551066","N/A","970.5","N/A","610.4796360487462","N/A"
"25","5","color-agents-by-vision","820","1000","0.3284943914109873","N/A","0.4445121951219512","N/A","1021.784349593496","N/A","881.5","N/A","588.3975089779699","N/A"
"25","5","color-agents-by-vision","840","1000","0.3364925289014067","N/A","0.4375","N/A","1016.2242827229795","N/A","813.75","N/A","605.165339355703","N/A"
"25","5","color-agents-by-vision","860","1000","0.3454874922265725","N/A","0.4418604651162791","N/A","981.0059902022603","N/A","822","N/A","595.4323102058429","N/A"
"25","5","color-agents-by-vision","880","1000","0.3516550258244658","N/A","0.4426136363636364","N/A","938.6513710368466","N/A","735.5","N/A","582.3091150655639","N/A"
"25","5","color-agents-by-vision","900","1000","0.363316842521313","N/A","0.47277777777777774","N/A","873.4541558039857","N/A","628.25","N/A","561.2613880343433","N/A"
"25","5","color-agents-by-vision","920","1000","0.35175975522449415","N/A","0.44673913043478264","N/A","926.9162310174358","N/A","728.5","N/A","574.0136533858209","N/A"
"25","5","color-agents-by-vision","940","1000","0.3724306620494205","N/A","0.44361702127659575","N/A","878.6729862458476","N/A","641","N/A","578.7705863245517","N/A"
"25","5","color-agents-by-vision","960","1000","0.3672431302670953","N/A","0.44843750000000004","N/A","861.6905122919859","N/A","634.75","N/A","559.5117798209227","N/A"
"25","5","color-agents-by-vision","980","1000","0.35173254954436317","N/A","0.4336734693877551","N/A","903.3500102442563","N/A","856","N/A","559.1813008125691","N/A"
"25","5","color-agents-by-vision","1000","1000","0.3679873797973505","N/A","0.4495","N/A","840.6855615502648","N/A","594.25","N/A","548.4106671037921","N/A"
