"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"02/27/2024 20:38:01:970 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"max-initial-vision","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio"
"2","100","0","0","0","1","0"
"2","100","200","0.31139839764209076","0.020510396219174505","0.97","0.014142135623730963"
"2","100","400","0.4091642033842163","0.015846589803941605","0.94","0.030822070014844865"
"2","100","600","0.3809170111526534","0.026727889770114074","0.9199999999999999","0.03240370349203929"
"2","100","800","0.38178826586164033","0.015179507214299202","0.8875","0.02861380785564902"
"2","100","1000","0.3968850884192056","0.028370620951748964","0.87","0.03674234614174766"
"2","100","1200","0.3888103269104943","0.021525056082178765","0.8375","0.02947456530637896"
"2","100","1400","0.3883827001158833","0.036406273914180526","0.8150000000000001","0.02598076211353313"
"2","100","1600","0.3936214187152294","0.006565300336125148","0.7949999999999999","0.03041381265149107"
"2","100","1800","0.3849859989097122","0.009732516774554379","0.7875000000000001","0.027726341266023535"
"2","100","2000","0.38370313665784456","0.012107639917828645","0.7725","0.027726341266023566"
"2","120","0","0","0","1","0"
"2","120","200","0.3210551394314037","0.01703632980413584","0.9729166666666667","0.018042195912175787"
"2","120","400","0.4116372210150022","0.012366966579624345","0.9458333333333333","0.022438186696393775"
"2","120","600","0.3954248609061055","0.026408390796884056","0.9208333333333334","0.021650635094610942"
"2","120","800","0.4074165082913786","0.01840230962457707","0.90625","0.025937290829143193"
"2","120","1000","0.41418559418625667","0.041377834502408305","0.8645833333333334","0.03650294889153175"
"2","120","1200","0.3938017247520592","0.01768542101762903","0.8354166666666667","0.037902927913875506"
"2","120","1400","0.40389216410993267","0.019391415935758476","0.8041666666666667","0.029755951785595224"
"2","120","1600","0.38372837004088634","0.03311424360864736","0.7791666666666666","0.018162078931419485"
"2","120","1800","0.37993470580703215","0.015209531827870661","0.75625","0.02072890493972127"
"2","120","2000","0.4077650671101628","0.0226135390829085","0.7312500000000001","0.02848915485661946"
"2","140","0","0","0","1","0"
"2","140","200","0.31672802042427695","0.015146603970880936","0.975","0.0035714285714285587"
"2","140","400","0.40476689392253806","0.010934403926394087","0.9535714285714285","0.016366341767699417"
"2","140","600","0.385867072444938","0.02132691576882319","0.9303571428571428","0.028738351677555493"
"2","140","800","0.405075121523554","0.006292058454812586","0.9089285714285714","0.02105326093312785"
"2","140","1000","0.3997133324123477","0.014031256641162159","0.8678571428571428","0.0358924129325746"
"2","140","1200","0.38287302303388526","0.021841805027536486","0.8410714285714285","0.038589612116025546"
"2","140","1400","0.384957230079951","0.021477141601369706","0.8089285714285714","0.03439528622188969"
"2","140","1600","0.4024807971583786","0.015181599253367917","0.7910714285714285","0.03004036400225128"
"2","140","1800","0.39091995412306946","0.014600230465715245","0.7803571428571429","0.029612721342458955"
"2","140","2000","0.40276538859702443","0.02185209590630951","0.7589285714285714","0.02105326093312782"
"2","160","0","0","0","1","0"
"2","160","200","0.33002737034652885","0.012398067240612572","0.96875","0.00988211768802615"
"2","160","400","0.40153978478869495","0.019243079906975425","0.940625","0.011267347735824964"
"2","160","600","0.3944645521632765","0.0033852916448293153","0.9046875000000001","0.01842160331648688"
"2","160","800","0.4002073047569781","0.020833380844635017","0.8796875","0.02043233879784691"
"2","160","1000","0.3938161793465338","0.027544645684549163","0.86875","0.02072890493972127"
"2","160","1200","0.39790167905579515","0.021254330460679087","0.8390625","0.028768675999253052"
"2","160","1400","0.4061341060860309","0.014657761417530227","0.80625","0.0315609529323815"
"2","160","1600","0.3940316772012931","0.01615403710885067","0.7671875","0.030737993082665612"
"2","160","1800","0.3890381705589876","0.03654120070185687","0.7515624999999999","0.02553146037245028"
"2","160","2000","0.3924027159611188","0.005059480170339363","0.73125","0.03029799910885207"
"2","180","0","0","0","1","0"
"2","180","200","0.36241082744611397","0.00301258933534982","0.9708333333333333","0.009918650595198367"
"2","180","400","0.41055116151628","0.01854707367407913","0.9375","0.013819269959814195"
"2","180","600","0.3864149253718309","0.022524567374233164","0.9125000000000001","0.01729152721942882"
"2","180","800","0.416261416396803","0.013078468686764239","0.8777777777777778","0.022566773346210968"
"2","180","1000","0.3927685254640259","0.006478630873585781","0.8513888888888889","0.03499889768987264"
"2","180","1200","0.4012810561604364","0.01527857526710338","0.8152777777777779","0.026168671779745502"
"2","180","1400","0.39507186519703974","0.003835009152781538","0.7958333333333334","0.023032116599690247"
"2","180","1600","0.3855275033436132","0.007745961522066762","0.7652777777777777","0.028157131850990707"
"2","180","1800","0.39438551341751504","0.0030746306874650754","0.75","0.0340206908719886"
"2","180","2000","0.39829262859120773","0.020111357019696602","0.7222222222222222","0.02991758226185834"
"2","200","0","0","0","1","0"
"2","200","200","0.34390179929991505","0.01733951147898977","0.965","0.010606601717798222"
"2","200","400","0.43160247318405615","0.010722221323086936","0.93375","0.005448623679425815"
"2","200","600","0.38623820318901464","0.01775618798163755","0.9112499999999999","0.008196798155377508"
"2","200","800","0.39019165600155914","0.012115069590872475","0.8812500000000001","0.01556237449748593"
"2","200","1000","0.38551293938259307","0.012580033396437148","0.8512499999999998","0.021614520582238245"
"2","200","1200","0.4064840940243089","0.0110422566384926","0.82625","0.028586491565073167"
"2","200","1400","0.4053777713003146","0.015312858371511726","0.8025","0.0230488611432322"
"2","200","1600","0.3995257648921727","0.010799826072229114","0.7825000000000001","0.01887458608817689"
"2","200","1800","0.4021080608106762","0.014518099240816021","0.75875","0.01745530005471119"
"2","200","2000","0.3966221421213568","0.01137290038553235","0.725","0.020916500663351906"
"2","220","0","0","0","1","0"
"2","220","200","0.33551214013426495","0.006426480398696192","0.9590909090909091","0.009642365197998399"
"2","220","400","0.3997416629312296","0.004410667075361229","0.9261363636363635","0.010840218197919813"
"2","220","600","0.4132592831904881","0.016926025421414907","0.8886363636363637","0.016545704293819383"
"2","220","800","0.4093291930963845","0.007925344718285326","0.865909090909091","0.010414944761263286"
