"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2 Constant Growback.nlogo"
"experiment"
"02/27/2024 20:42:21:318 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"max-initial-vision","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio"
"2","100","0","0","0","1","0"
"2","100","200","0.19870961050339236","0.007889507136367917","0.985","0.011180339887498959"
"2","100","400","0.19772567382048065","0.007683522392543849","0.985","0.011180339887498959"
"2","100","600","0.1970622837702226","0.007244687042646112","0.985","0.011180339887498959"
"2","100","800","0.19625746617052073","0.006506573495105627","0.985","0.011180339887498959"
"2","100","1000","0.19613731042937232","0.006893478836685277","0.985","0.011180339887498959"
"2","100","1200","0.19610945963446452","0.0067420688691022185","0.985","0.011180339887498959"
"2","100","1400","0.1963418978859211","0.006222962337710116","0.985","0.011180339887498959"
"2","100","1600","0.1960895485026351","0.005977979035693832","0.985","0.011180339887498959"
"2","100","1800","0.195655998554701","0.0058459035835124835","0.985","0.011180339887498959"
"2","100","2000","0.19540057634891067","0.006099098830455948","0.985","0.011180339887498959"
"2","120","0","0","0","1","0"
"2","120","200","0.1990400291271855","0.00502840198660175","0.9895833333333334","0.0036084391824351965"
"2","120","400","0.19587767032814413","0.005004225846845919","0.9895833333333334","0.0036084391824351965"
"2","120","600","0.19475137798428543","0.0032038434847021474","0.9895833333333334","0.0036084391824351965"
"2","120","800","0.19467574701172016","0.003065068541807985","0.9895833333333334","0.0036084391824351965"
"2","120","1000","0.1949778650248089","0.002626672386879212","0.9895833333333334","0.0036084391824351965"
"2","120","1200","0.19478137300687695","0.002557048847944879","0.9895833333333334","0.0036084391824351965"
"2","120","1400","0.1946110859369184","0.001880638331103972","0.9895833333333334","0.0036084391824351965"
"2","120","1600","0.1946617164446131","0.002122670617204291","0.9895833333333334","0.0036084391824351965"
"2","120","1800","0.19446387876400312","0.002260706556106212","0.9895833333333334","0.0036084391824351965"
"2","120","2000","0.19470669203714736","0.0020009510860891496","0.9895833333333334","0.0036084391824351965"
"2","140","0","0","0","1","0"
"2","140","200","0.20446245674063898","0.009673881404474474","0.9910714285714286","0.007783748113465505"
"2","140","400","0.20342859223410334","0.007693764870268013","0.9910714285714286","0.007783748113465505"
"2","140","600","0.20185245650637268","0.007951439731999367","0.9910714285714286","0.007783748113465505"
"2","140","800","0.20203371553534866","0.007633848635297878","0.9910714285714286","0.007783748113465505"
"2","140","1000","0.20193683419488292","0.00801798388575475","0.9910714285714286","0.007783748113465505"
"2","140","1200","0.20199282078295888","0.00789437030410692","0.9910714285714286","0.007783748113465505"
"2","140","1400","0.20172406511544733","0.008145766578498172","0.9910714285714286","0.007783748113465505"
"2","140","1600","0.20159116772725233","0.007955583202347155","0.9910714285714286","0.007783748113465505"
"2","140","1800","0.20131783867125838","0.0075399019458405655","0.9910714285714286","0.007783748113465505"
"2","140","2000","0.2012701549693092","0.007351889106757123","0.9910714285714286","0.007783748113465505"
"2","160","0","0","0","1","0"
"2","160","200","0.2151447967270011","0.009690855347494594","0.9921875","0.005182226234930294"
"2","160","400","0.2120298405094429","0.009053126002824298","0.9921875","0.005182226234930294"
"2","160","600","0.2113463468605717","0.008140530357692174","0.9921875","0.005182226234930294"
"2","160","800","0.21098963294956055","0.006958757964229364","0.9921875","0.005182226234930294"
"2","160","1000","0.21030217618254377","0.006213355008378668","0.9921875","0.005182226234930294"
"2","160","1200","0.2093519633445805","0.006440416102076192","0.9921875","0.005182226234930294"
"2","160","1400","0.20953534092190879","0.006626141214598471","0.9921875","0.005182226234930294"
"2","160","1600","0.20987523208589098","0.006771647764671822","0.9921875","0.005182226234930294"
"2","160","1800","0.2102625356831919","0.007054944612490395","0.9921875","0.005182226234930294"
"2","160","2000","0.21059009731567563","0.007233933874748865","0.9921875","0.005182226234930294"
"2","180","0","0","0","1","0"
"2","180","200","0.21781721274698576","0.01569878002848852","0.9888888888888889","0.005555555555555591"
"2","180","400","0.215316405320595","0.014113794404755825","0.9888888888888889","0.005555555555555591"
"2","180","600","0.21605918233721494","0.013312210901442132","0.9888888888888889","0.005555555555555591"
"2","180","800","0.2160853372511049","0.013294200159697431","0.9888888888888889","0.005555555555555591"
"2","180","1000","0.21530675422229487","0.013114853099716006","0.9888888888888889","0.005555555555555591"
"2","180","1200","0.21513768247668782","0.01228104327315553","0.9888888888888889","0.005555555555555591"
"2","180","1400","0.2148302062187588","0.012435349683842687","0.9888888888888889","0.005555555555555591"
"2","180","1600","0.2149861566745419","0.012269481546526916","0.9888888888888889","0.005555555555555591"
"2","180","1800","0.21471815564282484","0.01198339278032922","0.9888888888888889","0.005555555555555591"
"2","180","2000","0.21442485068629571","0.011631234581972676","0.9888888888888889","0.005555555555555591"
"2","200","0","0","0","1","0"
"2","200","200","0.2329878194673873","0.0024744870271265324","0.99","0.0035355339059327407"
"2","200","400","0.2308613904540236","0.005503127210355694","0.99","0.0035355339059327407"
"2","200","600","0.2302076849078827","0.004951534514829196","0.99","0.0035355339059327407"
"2","200","800","0.2294995207485805","0.005591360044372797","0.99","0.0035355339059327407"
"2","200","1000","0.23003805196699376","0.005722805968728577","0.99","0.0035355339059327407"
"2","200","1200","0.2301998789869138","0.005267152964454595","0.99","0.0035355339059327407"
"2","200","1400","0.23072530342051756","0.00530810897018041","0.99","0.0035355339059327407"
"2","200","1600","0.23053653430431756","0.005115945051636375","0.99","0.0035355339059327407"
"2","200","1800","0.23036534327766284","0.005490736720764721","0.99","0.0035355339059327407"
"2","200","2000","0.23033493074865613","0.005597066598275637","0.99","0.0035355339059327407"
"2","220","0","0","0","1","0"
"2","220","200","0.2309284719370278","0.00834221644489271","0.9943181818181819","0.0037688918072220235"
"2","220","400","0.23143265020845616","0.007972104051076612","0.9943181818181819","0.0037688918072220235"
"2","220","600","0.23193099962801522","0.00862823236979487","0.9943181818181819","0.0037688918072220235"
"2","220","800","0.23148279181764617","0.008607890107720019","0.9943181818181819","0.0037688918072220235"
"2","220","1000","0.2319551943208666","0.008644402765657274","0.9943181818181819","0.0037688918072220235"
"2","220","1200","0.2324542474211888","0.008515492899842103","0.9943181818181819","0.0037688918072220235"
"2","220","1400","0.23229749212353465","0.008683544220292815","0.9943181818181819","0.0037688918072220235"
"2","220","1600","0.23229197510361155","0.0082483520112876","0.9943181818181819","0.0037688918072220235"
"2","220","1800","0.23232837572913811","0.007924559494857457","0.9943181818181819","0.0037688918072220235"
"2","220","2000","0.23246650714742192","0.007670061845642706","0.9943181818181819","0.0037688918072220235"
"2","240","0","0","0","1","0"
"2","240","200","0.22899043816492493","0.009363696784394178","0.9791666666666666","0.00510310363079827"
"2","240","400","0.23051600117187815","0.009790007688093462","0.9791666666666666","0.00510310363079827"
"2","240","600","0.2300071527708002","0.009804164300923126","0.9791666666666666","0.00510310363079827"
"2","240","800","0.23051237205048397","0.00976231400346136","0.9791666666666666","0.00510310363079827"
"2","240","1000","0.23074282604366703","0.009484654728432596","0.9791666666666666","0.00510310363079827"
"2","240","1200","0.23136268306556199","0.009227288942346958","0.9791666666666666","0.00510310363079827"
"2","240","1400","0.23170388723644514","0.009432524051567418","0.9791666666666666","0.00510310363079827"
"2","240","1600","0.23155624312826462","0.009667174897724668","0.9791666666666666","0.00510310363079827"
"2","240","1800","0.23152535830667953","0.009659646528083841","0.9791666666666666","0.00510310363079827"
"2","240","2000","0.23113680090111982","0.009653723528469845","0.9791666666666666","0.00510310363079827"
"2","260","0","0","0","1","0"
"2","260","200","0.2489881250439049","0.005355497242602597","0.9875","0.005688538252980413"
"2","260","400","0.24929031161682352","0.00572253236132464","0.9875","0.005688538252980413"
"2","260","600","0.24883257448132223","0.0058285244374364316","0.9875","0.005688538252980413"
"2","260","800","0.24876673216079156","0.006106659005057231","0.9875","0.005688538252980413"
"2","260","1000","0.24907223956953134","0.006031837627103094","0.9875","0.005688538252980413"
"2","260","1200","0.2495668915245698","0.0061499969664859724","0.9875","0.005688538252980413"
"2","260","1400","0.24975962344565664","0.005852280499599041","0.9875","0.005688538252980413"
"2","260","1600","0.24963323021830514","0.005441680664314267","0.9875","0.005688538252980413"
"2","260","1800","0.24989432655829752","0.005385595407915048","0.9875","0.005688538252980413"
"2","260","2000","0.2501927634431265","0.005305840448675597","0.9875","0.005688538252980413"
"2","280","0","0","0","1","0"
"2","280","200","0.26083022580852855","0.010557954867647924","0.9857142857142858","0.002525381361380557"
"2","280","400","0.26207559409891656","0.009664387800204172","0.9857142857142858","0.002525381361380557"
"2","280","600","0.26276252082139956","0.008583168981931193","0.9857142857142858","0.002525381361380557"
"2","280","800","0.26317169995843226","0.008907342865040491","0.9857142857142858","0.002525381361380557"
"2","280","1000","0.26348314237928855","0.00892098793636688","0.9857142857142858","0.002525381361380557"
"2","280","1200","0.2633943199129942","0.008912291184093434","0.9857142857142858","0.002525381361380557"
"2","280","1400","0.26315029715316035","0.008699788737461956","0.9857142857142858","0.002525381361380557"
"2","280","1600","0.26284199936281494","0.008665295107054032","0.9857142857142858","0.002525381361380557"
"2","280","1800","0.2631837560328628","0.008229222233902073","0.9857142857142858","0.002525381361380557"
"2","280","2000","0.2632439251332134","0.008114134866556452","0.9857142857142858","0.002525381361380557"
"2","300","0","0","0","1","0"
"2","300","200","0.26697695743087707","0.010457840992726758","0.985","0.004999999999999996"
"2","300","400","0.26714986173231525","0.008950615449543078","0.985","0.004999999999999996"
"2","300","600","0.2672747431499813","0.009159772375339216","0.985","0.004999999999999996"
"2","300","800","0.2683118419126031","0.009101439290261809","0.985","0.004999999999999996"
"2","300","1000","0.2692420830027023","0.008908683730171695","0.985","0.004999999999999996"
"2","300","1200","0.2696777389790039","0.008586205510867227","0.985","0.004999999999999996"
"2","300","1400","0.26999548986153643","0.008491876827549262","0.985","0.004999999999999996"
"2","300","1600","0.2698560504620483","0.008457169597340712","0.985","0.004999999999999996"
"2","300","1800","0.26969421009254957","0.008434261907311818","0.985","0.004999999999999996"
"2","300","2000","0.2695417381829317","0.008231601529388642","0.985","0.004999999999999996"
"2","320","0","0","0","1","0"
"2","320","200","0.27049758475354807","0.0038779629875270814","0.98125","0.00796721798998872"
"2","320","400","0.27079405264427114","0.004640830974780237","0.98125","0.00796721798998872"
"2","320","600","0.27099538971614706","0.0043188388601046145","0.98125","0.00796721798998872"
"2","320","800","0.2709046771369627","0.004795811816165765","0.98125","0.00796721798998872"
"2","320","1000","0.27167867524531514","0.00440799115554232","0.98125","0.00796721798998872"
"2","320","1200","0.2716096610543597","0.004316986060829325","0.98125","0.00796721798998872"
"2","320","1400","0.27121005838768736","0.004036882331735922","0.98125","0.00796721798998872"
"2","320","1600","0.27128017623507483","0.003857018867377244","0.98125","0.00796721798998872"
"2","320","1800","0.27100697452024347","0.00389956643653913","0.98125","0.00796721798998872"
"2","320","2000","0.27083358200328506","0.003985804697862581","0.98125","0.00796721798998872"
"2","340","0","0","0","1","0"
"2","340","200","0.2800747497053921","0.00795411644572946","0.9808823529411765","0.004411764705882383"
"2","340","400","0.279651493888051","0.007032189756158376","0.9794117647058824","0.005094267081084963"
"2","340","600","0.2798927840432326","0.006638697847317792","0.9786764705882354","0.005647901285197533"
"2","340","800","0.27932254080761365","0.006158734774266635","0.9779411764705883","0.0060633906259083496"
"2","340","1000","0.2797618846743441","0.006614745880745746","0.9779411764705883","0.0060633906259083496"
"2","340","1200","0.2798392535940163","0.006503924599793137","0.9779411764705883","0.0060633906259083496"
"2","340","1400","0.27951700915131494","0.0062205308515986945","0.9779411764705883","0.0060633906259083496"
"2","340","1600","0.2794770244919844","0.006257960924319434","0.9779411764705883","0.0060633906259083496"
"2","340","1800","0.27956245868136564","0.006110157257456012","0.9779411764705883","0.0060633906259083496"
"2","340","2000","0.2795552653443127","0.00618989442391783","0.9779411764705883","0.0060633906259083496"
"2","360","0","0","0","1","0"
"2","360","200","0.29108838669678805","0.010203196351078803","0.975","0.005892556509887875"
"2","360","400","0.29499305120683156","0.010296031376252188","0.9722222222222222","0.005892556509887875"
"2","360","600","0.2959177055664635","0.010509685919974978","0.9715277777777778","0.00601406530405858"
"2","360","800","0.29593333180744374","0.010384354257633392","0.9715277777777778","0.00601406530405858"
"2","360","1000","0.2966747455813964","0.010344680337792168","0.9715277777777778","0.00601406530405858"
"2","360","1200","0.29642246699320485","0.009689186178130575","0.9715277777777778","0.00601406530405858"
"2","360","1400","0.296146136738624","0.009644216676178635","0.9715277777777778","0.00601406530405858"
"2","360","1600","0.2964287108370126","0.009843010737737665","0.9715277777777778","0.00601406530405858"
"2","360","1800","0.2965777750743553","0.0100117822939731","0.9715277777777778","0.00601406530405858"
"2","360","2000","0.29670827760889573","0.009998879764601827","0.9715277777777778","0.00601406530405858"
"2","380","0","0","0","1","0"
"2","380","200","0.29277605132730766","0.0054876731974347745","0.9684210526315788","0.009488292830168422"
"2","380","400","0.2947019976186082","0.006617967925019984","0.9671052631578947","0.008425163470306406"
"2","380","600","0.2949579719193298","0.006882057274165867","0.9651315789473685","0.007529949435697126"
"2","380","800","0.29446038373135464","0.007032055130175951","0.9644736842105264","0.006578947368421073"
"2","380","1000","0.2944748883257809","0.007762907603823633","0.9638157894736843","0.006545969980964625"
"2","380","1200","0.29483678564469706","0.007885480890949535","0.9638157894736843","0.006545969980964625"
"2","380","1400","0.2950452937346777","0.007882471669264045","0.9638157894736843","0.006545969980964625"
"2","380","1600","0.29495682720201194","0.007705195879766468","0.9638157894736843","0.006545969980964625"
"2","380","1800","0.29491224144874906","0.0077926435461496135","0.9638157894736843","0.006545969980964625"
"2","380","2000","0.2950841539992826","0.007925780937064027","0.9638157894736843","0.006545969980964625"
"2","400","0","0","0","1","0"
"2","400","200","0.3041177656749604","0.00549261312420177","0.974375","0.006931585316505881"
"2","400","400","0.30663198126094193","0.00902782118321734","0.971875","0.008361930100162285"
"2","400","600","0.3056797916412772","0.0071062677786108835","0.9681249999999999","0.006465050270492858"
"2","400","800","0.3059998985264577","0.0074334613634396834","0.9675","0.006373774391990965"
