"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"02/29/2024 00:25:42:701 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-initial-vision","initial-population","[step]","gini-index","survival-ratio"
"3","6","100","80","0.4722063196681276","0.98"
"2","6","100","84","0.5145458259566934","1"
"7","6","200","48","0.22502217078021572","1"
"5","6","100","88","0.5034731592842477","1"
"4","6","100","88","0.5195184053287002","0.98"
"3","6","100","84","0.47404420283397186","0.98"
"2","6","100","88","0.5118811730740008","1"
"8","6","200","64","0.25717279032020096","0.99"
"7","6","200","52","0.22581742713446032","1"
"4","6","100","92","0.4960664537924012","0.98"
"3","6","100","88","0.4881046486282069","0.98"
"2","6","100","92","0.489812510951463","1"
"7","6","200","56","0.22659765658166592","1"
"4","6","100","96","0.4201782858665855","0.98"
"3","6","100","92","0.4962989398337866","0.98"
"8","6","200","68","0.31072845576568675","0.99"
"2","6","100","96","0.436678895123004","1"
"4","6","100","100","0.3789878746201893","0.98"
"7","6","200","60","0.22760503084450107","1"
"3","6","100","96","0.49424353327957327","0.98"
"6","6","100","88","0.4876305519854024","0.97"
"2","6","100","100","0.37709434849018914","1"
"8","6","200","72","0.3395102567355035","0.99"
"3","6","100","100","0.4234393056365943","0.98"
"5","6","100","92","0.5048436018957346","1"
"2","6","100","104","0.3275062074921731","1"
"7","6","200","64","0.2916271195771856","1"
"6","6","100","92","0.5075585011799513","0.97"
"3","6","100","104","0.339178178444187","0.98"
"8","6","200","76","0.4176718719155522","0.99"
"2","6","100","108","0.3045766848132158","1"
"5","6","100","96","0.47202236266407405","1"
"6","6","100","96","0.5089259142079525","0.97"
"3","6","100","108","0.31212099893102896","0.98"
"7","6","200","68","0.3515125268848457","1"
"2","6","100","112","0.28543386549755984","1"
"5","6","100","100","0.4040640237439051","1"
"8","6","200","80","0.48138391711572964","0.99"
"4","6","100","104","0.32135053277201747","0.98"
"3","6","100","112","0.29155529036018674","0.98"
"6","6","100","100","0.46344139211749763","0.97"
"2","6","100","116","0.27142846569461904","1"
"7","6","200","72","0.385951818959667","1"
"4","6","100","108","0.30330379040525296","0.98"
"1","6","100","24","0.21196397941680967","1"
"2","6","100","120","0.2601199169290547","1"
"3","6","100","116","0.27503122598371477","0.98"
"6","6","100","104","0.3465478876187224","0.97"
"8","6","200","84","0.5061346224190788","0.99"
"4","6","100","112","0.2889205743050562","0.98"
"3","6","100","120","0.2622179900789391","0.98"
"6","6","100","108","0.31772984313500785","0.97"
"7","6","200","76","0.42796428233662226","1"
"2","6","100","124","0.2622413139608339","1"
"4","6","100","116","0.2775091338120232","0.98"
"3","6","100","124","0.2520754064337599","0.98"
"6","6","100","112","0.29758467510021713","0.97"
"8","6","200","88","0.5149701008731848","0.99"
"2","6","100","128","0.28203827989062885","1"
"4","6","100","120","0.2674658133750209","0.98"
"7","6","200","80","0.4607471965308125","1"
"6","6","100","116","0.2817937955844795","0.97"
"3","6","100","128","0.25244694539846524","0.98"
"2","6","100","132","0.2834602835617252","1"
"8","6","200","92","0.5053250631813073","0.99"
"4","6","100","124","0.2586464201768458","0.98"
"6","6","100","120","0.2689114458633896","0.97"
"5","6","100","104","0.310613594890511","1"
"7","6","200","84","0.4906345654057171","1"
"2","6","100","136","0.2918771870414267","1"
"3","6","100","132","0.25991985630643866","0.98"
"5","6","100","108","0.2845459934789053","1"
"4","6","100","128","0.2550099098383217","0.98"
"6","6","100","124","0.26750796209232863","0.97"
"8","6","200","96","0.4404387671637315","0.99"
"2","6","100","140","0.3131772957103245","1"
"3","6","100","136","0.2699429604368729","0.98"
"7","6","200","88","0.49402204364494245","1"
"5","6","100","112","0.26456637322409127","1"
"6","6","100","128","0.25866471526448287","0.97"
"4","6","100","132","0.2765549676660787","0.98"
"3","6","100","140","0.26957216621588387","0.98"
"2","6","100","144","0.3128777053455021","1"
"5","6","100","116","0.24914830673413768","1"
"8","6","200","100","0.34277672930405556","0.99"
"6","6","100","132","0.2518659360875747","0.97"
"4","6","100","136","0.273173876788138","0.98"
"7","6","200","92","0.5054027374533389","1"
"3","6","100","144","0.3251280252388686","0.98"
"2","6","100","148","0.3368920119116033","1"
"5","6","100","120","0.23775159997186862","1"
"8","6","200","104","0.31302630513552354","0.99"
"4","6","100","140","0.2818632346780001","0.98"
"6","6","100","136","0.2525617466596069","0.97"
"2","6","100","152","0.34829145728643207","1"
"5","6","100","124","0.22750608428333532","1"
"3","6","100","148","0.35796634443250985","0.98"
"7","6","200","96","0.49182678235417115","1"
"4","6","100","144","0.2963316946521571","0.98"
"6","6","100","140","0.26236059272788537","0.97"
"2","6","100","156","0.37103421421525373","1"
"3","6","100","152","0.37853440073132727","0.98"
"8","6","200","108","0.29071429045804814","0.985"
"5","6","100","128","0.23376783787024827","1"
"7","6","200","100","0.39925955204216074","1"
"4","6","100","148","0.3729383071695878","0.98"
"8","6","200","112","0.2771373788804112","0.985"
"3","6","100","156","0.3851287440882816","0.98"
"2","6","100","160","0.41972479172651533","1"
"5","6","100","132","0.23585837887067398","1"
"4","6","100","152","0.3942614791041231","0.98"
"3","6","100","160","0.4170481065684402","0.98"
"2","6","100","164","0.43865397011426893","1"
"7","6","200","104","0.34123137155847416","1"
"8","6","200","116","0.2679370010650697","0.985"
"5","6","100","136","0.2556885023104104","1"
"1","6","100","28","0.21446979614737238","1"
"3","6","100","164","0.46520297178372283","0.98"
"4","6","100","156","0.4032649449559715","0.98"
"2","6","100","168","0.4704688441605402","1"
"5","6","100","140","0.2545524218271","1"
"8","6","200","120","0.2606371303985232","0.985"
"3","6","100","168","0.4814136788260157","0.98"
"4","6","100","160","0.46475413638146224","0.98"
"2","6","100","172","0.47490969069916417","0.99"
"5","6","100","144","0.2783346839546192","1"
"3","6","100","172","0.46191155576429443","0.98"
"4","6","100","164","0.4648434068426608","0.98"
"8","6","200","124","0.2549723747304746","0.985"
"2","6","100","176","0.46439467378395477","0.99"
"5","6","100","148","0.313533097524002","1"
"3","6","100","176","0.4496469693070303","0.98"
"4","6","100","168","0.45572147471813856","0.98"
"2","6","100","180","0.45836983029965467","0.99"
"6","6","100","144","0.2824063432459082","0.97"
"5","6","100","152","0.3524069955519611","1"
"8","6","200","128","0.25311183263670745","0.985"
"3","6","100","180","0.4338778416832283","0.98"
"4","6","100","172","0.4463850956116652","0.98"
"2","6","100","184","0.4125214252602786","0.99"
"3","6","100","184","0.3939811084899736","0.98"
"5","6","100","156","0.3747819353549483","1"
"4","6","100","176","0.41491919209644307","0.98"
"2","6","100","188","0.3774764832623889","0.99"
"6","6","100","148","0.29701352511408247","0.97"
"8","6","200","132","0.2685472291283531","0.985"
"3","6","100","188","0.3618427828053873","0.98"
"5","6","100","160","0.43570187165775404","1"
"7","6","200","108","0.31584782966580677","1"
"2","6","100","192","0.33872753265095545","0.99"
"6","6","100","152","0.31859569569269314","0.97"
"4","6","100","180","0.39333017678466037","0.98"
"3","6","100","192","0.33436643180656395","0.98"
"5","6","100","164","0.4672807605582303","1"
"8","6","200","136","0.27998658052833425","0.985"
"4","6","100","184","0.3645858343337333","0.98"
"6","6","100","156","0.3388995793037697","0.97"
"2","6","100","196","0.3228528713126761","0.99"
"7","6","200","112","0.29837841768470047","1"
"3","6","100","196","0.32490289271990724","0.98"
"5","6","100","168","0.4847774122070774","1"
"4","6","100","188","0.3327132144462354","0.98"
"6","6","100","160","0.3884809940974349","0.97"
"2","6","100","200","0.30851982094811903","0.99"
"8","6","200","140","0.2930550873293053","0.985"
"7","6","200","116","0.28557839781638583","1"
"3","6","100","200","0.3097220663160592","0.98"
"4","6","100","192","0.3049877705092733","0.98"
"6","6","100","164","0.47135210150674106","0.97"
"5","6","100","172","0.4990111167623339","1"
"2","6","100","204","0.3052916291004924","0.99"
"3","6","100","204","0.2932941137186691","0.98"
"8","6","200","144","0.30695538593653543","0.985"
"4","6","100","196","0.2883035317604564","0.98"
"7","6","200","120","0.27669532108651285","1"
"1","6","100","32","0.21554975557212683","1"
"6","6","100","168","0.49147714542624754","0.97"
"2","6","100","208","0.2991161616161615","0.99"
"5","6","100","176","0.483931829793446","1"
"3","6","100","208","0.28700094792015163","0.98"
"7","6","200","124","0.2699508608321379","1"
"4","6","100","200","0.28254132025638673","0.98"
"6","6","100","172","0.4828983040769954","0.97"
"8","6","200","148","0.3336615930571024","0.985"
"2","6","100","212","0.29191790078027813","0.99"
"3","6","100","212","0.29520398509451096","0.98"
"5","6","100","180","0.46433027058922677","1"
"4","6","100","204","0.27773724381956405","0.98"
"6","6","100","176","0.470171542436884","0.97"
"2","6","100","216","0.28303966760312393","0.99"
"3","6","100","216","0.30159208301500057","0.98"
"5","6","100","184","0.4222991503322958","1"
"8","6","200","152","0.3642997046193815","0.985"
"4","6","100","208","0.28253645631694413","0.98"
"7","6","200","128","0.2759908876139047","1"
"6","6","100","180","0.4728811203675698","0.97"
"2","6","100","220","0.28124074404364974","0.99"
"5","6","100","188","0.39763884627186236","1"
"3","6","100","220","0.3224190375098468","0.98"
"4","6","100","212","0.28246687799183506","0.98"
"6","6","100","184","0.45528279799645777","0.97"
"8","6","200","156","0.41449866701883326","0.985"
"7","6","200","132","0.2804331610285938","1"
"2","6","100","224","0.2999160606007243","0.99"
"3","6","100","224","0.32203163597489887","0.98"
"5","6","100","192","0.3546274254035542","1"
"4","6","100","216","0.30128831372278986","0.98"
"6","6","100","188","0.4355103779369025","0.97"
"2","6","100","228","0.3308956913284073","0.99"
"3","6","100","228","0.3391063656295211","0.98"
"8","6","200","160","0.43560008591787847","0.985"
"5","6","100","196","0.3337934668071651","1"
"7","6","200","136","0.28388112103480123","1"
"6","6","100","192","0.4020841790733803","0.97"
"4","6","100","220","0.31449963545659854","0.98"
"3","6","100","232","0.36781070489997114","0.98"
"2","6","100","232","0.33352137123020204","0.99"
"5","6","100","200","0.32215800044632886","1"
"4","6","100","224","0.34411449540152794","0.98"
"6","6","100","196","0.36462168233925607","0.97"
"8","6","200","164","0.453211395765382","0.985"
"7","6","200","140","0.3067975937721161","1"
"2","6","100","236","0.3409257386389648","0.99"
"5","6","100","204","0.31994713470078245","1"
"3","6","100","236","0.4034530031265843","0.98"
"4","6","100","228","0.36643037720866267","0.98"
"6","6","100","200","0.33496299889798214","0.97"
"8","6","200","168","0.4820414914160091","0.985"
"2","6","100","240","0.3802463104988631","0.99"
"7","6","200","144","0.3187493603058489","1"
"5","6","100","208","0.315803889898378","1"
"3","6","100","240","0.4152564594948946","0.98"
"6","6","100","204","0.3153708151146323","0.97"
"4","6","100","232","0.38041910418434316","0.98"
"5","6","100","212","0.30638359989845154","1"
"8","6","200","172","0.4866483147981161","0.985"
